target,replicate,route,status,baseline_gate_pass,challenge_pair_gate_pass,baseline_sbp_mmHg,baseline_dbp_mmHg,baseline_map_mmHg,baseline_sodium_mEq_L,baseline_renal_plasma_flow_mL_min,baseline_urine_production_mL_min,baseline_urine_osmolality_mOsm_kg,baseline_blood_volume_mL,baseline_urinary_sodium_output_mg_min,peak_delta_map_mmHg,peak_delta_map_elapsed_s,peak_delta_sbp_mmHg,peak_delta_dbp_mmHg,peak_delta_svr_mmHg_s_mL,minimum_delta_co_L_min,maximum_absolute_delta_hr_per_min,delta_hr_peak_elapsed_s,renal_flow_at_peak_map_left_mL_min,renal_flow_at_peak_map_right_mL_min,cerebral_flow_at_peak_map_mL_min,minimum_renal_flow_left_mL_min,minimum_renal_flow_right_mL_min,minimum_cerebral_flow_mL_min,peak_sodium_mEq_L,delta_sodium_from_baseline_mEq_L,hypernatremia_threshold_mEq_L,hypernatremia_preexisting_before_infusion,hypernatremia_first_observed_elapsed_s,hypernatremia_onset_phase,sodium_at_event_mEq_L,minimum_renal_plasma_flow_mL_min,minimum_urine_production_mL_min,irreversible_state_observed,infusion_completed,post_observation_completed
mild,1,direct,challenge_complete,True,True,129.01798799866958,80.18663167587404,106.03689631649905,142.78168140793485,648.9431356400428,1.412677057872254,616.2524696688972,5485.872303747398,5.63415914342436,25.323760818225708,360,27.50277478695284,24.697766815679856,0.45572704549036236,-0.8699677551522287,6.9580761210522155,299,443.4088180131541,443.4088180131508,549.0589287174239,367.78945018857564,367.78945018857996,472.15599839903035,144.56755369696495,1.7858722890300953,145.0,False,,,,456.85782167219133,0.33592554986770445,False,True,True
mild,1,modifier,challenge_complete,True,True,128.85675431204749,80.26788660222881,105.846844008445,144.56651810976734,490.85315269065296,1.0270465688130659,619.3797007931112,5497.692106385962,4.707053529713653,24.92488628857214,360,26.11146459873524,24.49284257488516,0.5950526318592662,-0.8029480171718397,9.564487272671741,324,286.2490785008325,286.2490785008282,422.3831485293859,244.39841387770784,244.3984138777112,382.8425739215831,145.74872453060038,1.1822064208330403,145.0,False,261,infusion,145.00078328453668,328.1648987313274,-4.554761126667308e-17,False,True,True
mild,2,direct,challenge_complete,True,True,129.01798799866958,80.18663167587404,106.03689631649905,142.78168140793485,648.9431356400428,1.412677057872254,616.2524696688972,5485.872303747398,5.63415914342436,25.323760818225708,360,27.50277478695284,24.697766815679856,0.45572704549036236,-0.8699677551522287,6.9580761210522155,299,443.4088180131541,443.4088180131508,549.0589287174239,367.78945018857564,367.78945018857996,472.15599839903035,144.56755369696495,1.7858722890300953,145.0,False,,,,456.85782167219133,0.33592554986770445,False,True,True
mild,2,modifier,challenge_complete,True,True,128.85675431204749,80.26788660222881,105.846844008445,144.56651810976734,490.85315269065296,1.0270465688130659,619.3797007931112,5497.692106385962,4.707053529713653,24.92488628857214,360,26.11146459873524,24.49284257488516,0.5950526318592662,-0.8029480171718397,9.564487272671741,324,286.2490785008325,286.2490785008282,422.3831485293859,244.39841387770784,244.3984138777112,382.8425739215831,145.74872453060038,1.1822064208330403,145.0,False,261,infusion,145.00078328453668,328.1648987313274,-4.554761126667308e-17,False,True,True
intermediate,1,direct,challenge_complete,True,True,139.95407237137456,89.7605203199959,116.1111377810702,142.8818465564114,707.834257729625,1.848133722163007,575.5144689483602,5480.666249259111,7.484505550132315,27.90879827755535,360,30.359982943412433,26.594315218456785,0.5327648949373418,-0.9561889997640112,6.748803945257549,306,464.92083539199984,464.9208353920016,524.0982267314839,402.0944628103755,402.0944628103758,460.3280368427762,144.53083893615812,1.6489923797467156,145.0,False,,,,499.27737579455413,0.7354895147244602,False,True,True
intermediate,1,modifier,challenge_complete,True,True,139.78883378231632,89.58131578497608,115.84477270482076,144.90051314668028,430.2983331441532,1.2758910681809539,608.436456731861,5479.990601738855,6.023239144794317,26.947981158145964,360,27.10798260617065,28.825822249444172,0.8572588513306989,-0.8000259432458607,11.90581023156733,352,218.31840987818407,218.31840987818367,329.5844599302127,198.5447311702514,198.54473117025196,320.0924099193599,145.7904545280198,0.8899413813395256,145.0,False,93,infusion,145.0003598123368,278.47698978448386,0.026800169889126067,False,True,True
intermediate,2,direct,challenge_complete,True,True,139.95407237137456,89.7605203199959,116.1111377810702,142.8818465564114,707.834257729625,1.848133722163007,575.5144689483602,5480.666249259111,7.484505550132315,27.90879827755535,360,30.359982943412433,26.594315218456785,0.5327648949373418,-0.9561889997640112,6.748803945257549,306,464.92083539199984,464.9208353920016,524.0982267314839,402.0944628103755,402.0944628103758,460.3280368427762,144.53083893615812,1.6489923797467156,145.0,False,,,,499.27737579455413,0.7354895147244602,False,True,True
intermediate,2,modifier,challenge_complete,True,True,139.78883378231632,89.58131578497608,115.84477270482076,144.90051314668028,430.2983331441532,1.2758910681809539,608.436456731861,5479.990601738855,6.023239144794317,26.947981158145964,360,27.10798260617065,28.825822249444172,0.8572588513306989,-0.8000259432458607,11.90581023156733,352,218.31840987818407,218.31840987818367,329.5844599302127,198.5447311702514,198.54473117025196,320.0924099193599,145.7904545280198,0.8899413813395256,145.0,False,93,infusion,145.0003598123368,278.47698978448386,0.026800169889126067,False,True,True
higher,1,direct,challenge_complete,True,True,148.60283203009487,90.70342585407553,120.97897832244117,142.93177358830468,775.6771725192717,2.322062287609061,581.9122765160614,5477.415181196182,9.429827823033685,29.080960143831774,360,33.122016661989676,26.560825632913648,0.5068153370916015,-0.9359758600474004,5.900988170877426,303,462.5404531268946,462.540453126896,496.97685673873326,422.3659496239455,422.36594962393775,451.9931642680171,144.642868275452,1.7110946871473232,145.0,False,,,,529.6713186360543,0.8656161476859828,False,True,True
higher,1,modifier,challenge_complete,True,True,148.66367037127705,90.73810166292338,120.8895014637227,145.2163481190674,389.7840860721531,1.2101626612233671,603.1050218529363,5467.296209139769,5.853077861618923,27.707055159588776,361,28.036842647116345,30.33742950237142,1.0775692910752954,-0.8238742664475751,12.850870886686195,366,201.15751646918903,201.15751646918775,347.6055511919212,155.8093380841919,155.80933808418976,280.0344756717146,145.80205554228968,0.5857074232222885,145.0,True,1,predrug,145.12728871835944,241.64271666858258,-2.277380563333654e-17,False,True,True
