body_id,replicate,route,status,baseline_sbp_mmHg,baseline_dbp_mmHg,baseline_map_mmHg,baseline_svr_mmHg_s_mL,baseline_hr_per_min,baseline_renal_plasma_flow_mL_min,baseline_urine_production_mL_min,baseline_sodium_mEq_L,peak_delta_map_mmHg,peak_delta_svr_mmHg_s_mL,maximum_absolute_delta_hr_per_min,minimum_delta_co_L_min,dose_ug_kg_min,infusion_rate_mL_s,nominal_volume_equivalent_mL,event_first_observed_elapsed_s
male_low_bmi,1,direct,challenge_complete,138.60990718442096,89.77575217386314,115.35850762267086,1.1127098755913847,72.02068833844328,685.1075525028518,1.9050012902953388,143.0375001757103,27.64711267291611,0.5465909705616763,6.861458636576572,-0.9162654225611284,0.2,0.18866666666666668,56.6,"{""Diuresis"": 181, ""Hypernatremia"": 654, ""StartOfCardiacCycle"": 143, ""StartOfExhale"": 86, ""StartOfInhale"": 295}"
male_low_bmi,1,modifier,challenge_complete,138.63885032388677,89.93158767878742,115.49939340626591,1.6366480079022776,71.98647733186272,421.22800301869574,1.0580986469366458,145.82368080491142,26.97527219764956,0.8835440894902669,11.89222714574862,-0.7810893066769404,0.2,0.18866666666666668,56.6,"{""Diuresis"": 1, ""Hypernatremia"": 1, ""StartOfCardiacCycle"": 166, ""StartOfExhale"": 143, ""StartOfInhale"": 397}"
male_low_bmi,2,direct,challenge_complete,138.60990718442096,89.77575217386314,115.35850762267086,1.1127098755913847,72.02068833844328,685.1075525028518,1.9050012902953388,143.0375001757103,27.64711267291611,0.5465909705616763,6.861458636576572,-0.9162654225611284,0.2,0.18866666666666668,56.6,"{""Diuresis"": 181, ""Hypernatremia"": 654, ""StartOfCardiacCycle"": 143, ""StartOfExhale"": 86, ""StartOfInhale"": 295}"
male_low_bmi,2,modifier,challenge_complete,138.63885032388677,89.93158767878742,115.49939340626591,1.6366480079022776,71.98647733186272,421.22800301869574,1.0580986469366458,145.82368080491142,26.97527219764956,0.8835440894902669,11.89222714574862,-0.7810893066769404,0.2,0.18866666666666668,56.6,"{""Diuresis"": 1, ""Hypernatremia"": 1, ""StartOfCardiacCycle"": 166, ""StartOfExhale"": 143, ""StartOfInhale"": 397}"
male_high_bmi,1,direct,challenge_complete,138.7123118039726,89.6557733081498,115.44490639776885,1.0567915592236068,72.03941686769599,691.0885253676216,1.843349691197268,142.7444760127695,27.78533057137966,0.5225082520609818,6.588390303761912,-0.9675796077087808,0.2,0.267,80.10000000000001,"{""Diuresis"": 173, ""StartOfCardiacCycle"": 5, ""StartOfExhale"": 41, ""StartOfInhale"": 104}"
male_high_bmi,1,modifier,challenge_complete,138.727835358959,89.65328833515333,115.33979184252291,1.5666066309987738,72.0114512428701,437.7855502017559,1.2923979227617983,144.76970589997052,26.883807537295922,0.8434132034456847,11.719025788269448,-0.811155013665255,0.2,0.267,80.10000000000001,"{""Diuresis"": 1, ""Hypernatremia"": 163, ""StartOfCardiacCycle"": 14, ""StartOfExhale"": 200, ""StartOfInhale"": 83}"
male_high_bmi,2,direct,challenge_complete,138.7123118039726,89.6557733081498,115.44490639776885,1.0567915592236068,72.03941686769599,691.0885253676216,1.843349691197268,142.7444760127695,27.78533057137966,0.5225082520609818,6.588390303761912,-0.9675796077087808,0.2,0.267,80.10000000000001,"{""Diuresis"": 173, ""StartOfCardiacCycle"": 5, ""StartOfExhale"": 41, ""StartOfInhale"": 104}"
male_high_bmi,2,modifier,challenge_complete,138.727835358959,89.65328833515333,115.33979184252291,1.5666066309987738,72.0114512428701,437.7855502017559,1.2923979227617983,144.76970589997052,26.883807537295922,0.8434132034456847,11.719025788269448,-0.811155013665255,0.2,0.267,80.10000000000001,"{""Diuresis"": 1, ""Hypernatremia"": 163, ""StartOfCardiacCycle"": 14, ""StartOfExhale"": 200, ""StartOfInhale"": 83}"
female_low_bmi,1,direct,challenge_complete,140.6079502952427,89.28293592787941,115.64662866279338,1.3231298574148909,71.98390571465539,585.3631003409807,1.212874310521286,143.07767269486177,26.46341300530645,0.6341331827327319,6.383093829607333,-0.7834855919429673,0.2,0.132,39.6,"{""Hypernatremia"": 443, ""StartOfCardiacCycle"": 159, ""StartOfExhale"": 341, ""StartOfInhale"": 480}"
female_low_bmi,1,modifier,challenge_complete,140.59549589323325,89.30828535400445,115.74041359808803,1.899803496467343,71.94323784447002,358.3943128352338,0.5542894403371101,145.88810286590842,25.711486691951222,1.0059164785423216,11.399046982245864,-0.6842532567930899,0.2,0.132,39.6,"{""Antidiuresis"": 394, ""Hypernatremia"": 1, ""StartOfCardiacCycle"": 5, ""StartOfExhale"": 98, ""StartOfInhale"": 345}"
female_low_bmi,2,direct,challenge_complete,140.6079502952427,89.28293592787941,115.64662866279338,1.3231298574148909,71.98390571465539,585.3631003409807,1.212874310521286,143.07767269486177,26.46341300530645,0.6341331827327319,6.383093829607333,-0.7834855919429673,0.2,0.132,39.6,"{""Hypernatremia"": 443, ""StartOfCardiacCycle"": 159, ""StartOfExhale"": 341, ""StartOfInhale"": 480}"
female_low_bmi,2,modifier,challenge_complete,140.59549589323325,89.30828535400445,115.74041359808803,1.899803496467343,71.94323784447002,358.3943128352338,0.5542894403371101,145.88810286590842,25.711486691951222,1.0059164785423216,11.399046982245864,-0.6842532567930899,0.2,0.132,39.6,"{""Antidiuresis"": 394, ""Hypernatremia"": 1, ""StartOfCardiacCycle"": 5, ""StartOfExhale"": 98, ""StartOfInhale"": 345}"
female_high_bmi,1,direct,challenge_complete,138.54702721315448,89.53758400852608,114.93150501389822,1.160525205241827,72.02390630768286,640.428304110125,1.293023795870773,142.78844590408153,26.77853835630988,0.5636695194064842,6.189249995771078,-0.8793235756336211,0.2,0.24800000000000005,74.40000000000002,"{""StartOfCardiacCycle"": 170, ""StartOfExhale"": 66, ""StartOfInhale"": 647}"
