case_id,route,target,R,C,requested_systolic_mmHg,requested_diastolic_mmHg,achieved_systolic_mmHg,achieved_diastolic_mmHg,status,wall_s,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,svr_mmHg_s_mL,baroreceptor_heart_rate_scale,baroreceptor_heart_elastance_scale,baroreceptor_resistance_scale,baroreceptor_compliance_scale,aorta_inflow_mL_s,BrainVasculature_inflow_mL_min,LeftKidneyVasculature_inflow_mL_min,RightKidneyVasculature_inflow_mL_min,GutVasculature_inflow_mL_min,LiverVasculature_inflow_mL_min,MuscleVasculature_inflow_mL_min,SkinVasculature_inflow_mL_min,MyocardiumVasculature_inflow_mL_min,pulse_pressure_mmHg,stroke_volume_mL,stationarity_sbp_bin_median_range_mmHg,stationarity_dbp_bin_median_range_mmHg,stationarity_pass,tissue_tuning_simulated_s,dynamic_stabilization_wall_s,dynamic_stabilization_simulated_s,cvp_out_of_range_warning_n,outside_reference_warning_seen,J,refinement_step,rerun_status,rerun_systolic_residual_mmHg,rerun_diastolic_residual_mmHg,rerun_pass,distance_from_stock
refine_higher_0.02_R2.000_C0.460,modifier,higher,2.0,0.46,150.0,90.0,148.60512489521057,90.7067870743288,ok,118.88654386400594,148.73766002454477,90.58337973431608,120.86639877964488,72.01234059366668,3.836391513716548,1.840165345725728,0.999761946795026,0.9999879771108602,0.9998965366462614,1.000026972601894,0.0,436.8285250543338,284.91044012928,284.9104401292773,511.5163691266646,876.0403261225663,558.8265285362031,182.051432334728,150.13604178519645,58.15428029022869,53.27408444288159,0.0167602728097904,0.0102819242754179,True,,117.0,600.0,0,False,0.0327949320766481,0.02,ok,0.13253512933420097,-0.12340734001271869,True,1.1364858116140297
refine_higher_0.005_R1.985_C0.460,modifier,higher,1.985,0.46,150.0,90.0,148.60512489521057,90.7067870743288,ok,182.54072679698584,148.6796503205317,90.70498716726466,120.88070683215744,72.01517963380984,3.8228383779453754,1.847145151760337,1.0000000000795568,1.000000000004018,1.0000000000515137,0.9999999999803186,0.0,448.9924970495159,266.1501783715438,266.1501783715441,527.797104469927,888.903473920617,578.0245017678537,187.1276782451958,155.53162583084014,57.97466315326703,53.08378590991697,0.0131887604357814,0.016302199767793,True,,180.0,899.0,0,False,0.0055572786847344,0.005,ok,0.07452542532112716,-0.001799907064139461,True,1.1233098414952127
refine_higher_0.005_R1.995_C0.465,modifier,higher,1.995,0.465,150.0,90.0,148.60512489521057,90.7067870743288,ok,136.4847012149985,148.4314697754113,90.73243177118025,120.78325233949435,72.01244657051225,3.842746943965072,1.8357328144360048,0.9997686022895792,0.9999883132469491,0.9999026275589205,1.0000253781984971,0.0,437.7495758779159,286.4146421809802,286.41464218097866,512.6284689925639,877.689536591984,560.0677337173518,182.4353418500017,150.47377659280005,57.699038004231056,53.36226065034992,0.0147935723134935,0.0088963077789827,True,,133.0,600.0,0,False,0.0308137511090991,0.005,ok,-0.17365511979926396,0.025644696851443882,True,1.1297123527695003
refine_higher_0.005_R2.000_C0.465,modifier,higher,2.0,0.465,150.0,90.0,148.60512489521057,90.7067870743288,ok,127.45880551100709,148.4788302155028,90.8624639102632,120.8657791182122,72.01193225736034,3.836364248399572,1.840153212966693,0.9997285729447004,0.999986291562864,0.9998856999148408,1.0000298574688162,0.0,437.0661588712628,286.07038065901577,286.0703806590153,511.84778165672367,876.2003070783496,559.226193984105,182.1506875566482,150.25061476752398,57.61636630523961,53.2740079059253,0.0175584414761544,0.0098445696813485,True,,124.0,600.0,0,False,0.0401856233690297,0.005,ok,-0.12629467970776886,0.1556768359343863,True,1.1341186004999653
refine_intermediate_0.005_R1.720_C0.590,modifier,intermediate,1.72,0.59,140.0,90.0,139.95366838673382,89.7625889323308,ok,142.4536957910168,140.04317454782858,89.53163122465878,115.94102691914392,72.01441058683773,4.220668283639566,1.5984213706065091,0.99993948307336,0.999996943589564,0.9999760533364412,1.0000058289664429,0.0,494.6498471068166,324.42819714049386,324.42819714049074,581.2524488436795,979.7442227004929,636.6046198236894,206.15539351712275,171.27705282280692,50.5115433231698,58.60866247804837,0.0103440599763757,0.008388512022222,True,,140.0,753.0,0,False,0.0613528156070349,0.005,ok,0.08950616109476073,-0.23095770767201884,True,0.8285529554590944
refine_intermediate_0.005_R1.715_C0.595,modifier,intermediate,1.715,0.595,140.0,90.0,139.95366838673382,89.7625889323308,ok,151.63986421600566,139.795325996346,89.56812426119221,115.83779515342552,72.01539781952805,4.228856572205098,1.5938650965976595,1.0000147248077602,1.0000007436771603,1.0000084146017274,0.999997216749215,0.0,495.64481500654665,328.00946847476246,328.0094684747619,582.4234258891058,981.6652314135616,637.8912232238341,206.56989973169124,171.623817090025,50.2272017351538,58.72156094732258,0.0156860512622358,0.0130837684674389,True,,150.0,753.0,0,False,0.0628888209147673,0.005,ok,-0.1583423903878156,-0.19446467113859,True,0.8217359673277056
refine_intermediate_0.005_R1.720_C0.595,modifier,intermediate,1.72,0.595,140.0,90.0,139.95366838673382,89.7625889323308,ok,174.56772438800544,139.86363520659435,89.67412696199857,115.93608418080667,72.01426853116612,4.220763056643564,1.5983960720184325,0.9999210463612316,0.9999960124424868,0.999968353965761,1.0000078360236233,0.0,494.761226070598,327.5195075950983,327.5195075951007,581.4101864712161,979.7971181906888,636.7972278857316,206.20181717939545,171.33245931837553,50.189508244595785,58.61009412067992,0.0094683431458122,0.0078999790594167,True,,172.0,753.0,0,False,0.0159314937210873,0.005,ok,-0.09003318013947137,-0.08846197033223291,True,0.8260901887808619
refine_intermediate_0.005_R1.725_C0.595,modifier,intermediate,1.725,0.595,140.0,90.0,139.95366838673382,89.7625889323308,ok,148.36641506900196,139.9300727252488,89.77995783165356,116.03420403402932,72.01441021555162,4.212738581188612,1.6029166384896136,0.9999227822981068,0.999996100116066,0.999968756266172,1.0000076692711808,0.0,485.2060237058637,322.186179841255,322.18617984125467,568.2144741260882,971.9338057894024,621.0119377112758,202.20692407025768,166.85721422226766,50.15011489359525,58.49855006212165,0.0113725462616685,0.008352851817861,True,,146.0,753.0,0,False,0.0008584339045997,0.005,ok,-0.023595661485018127,0.017368899322761422,True,0.8304516843260661
refine_intermediate_0.005_R1.725_C0.600,modifier,intermediate,1.725,0.6,140.0,90.0,139.95366838673382,89.7625889323308,ok,175.09687012099312,139.7524238223656,89.92121453554282,116.02940552659054,72.01454709862394,4.212586863588013,1.602914644214634,0.9999350455687592,0.9999967194731704,0.9999736621845012,1.0000064802334112,0.0,493.9328178063397,323.08118816866534,323.08118816866374,580.4829934450531,977.9048487754452,635.8100878598952,205.8567340807072,171.07377842677317,49.8312092868228,58.49633210660721,0.0121885545315763,0.0089114057158496,True,,172.0,753.0,0,False,0.0656614566821265,0.005,ok,-0.20124456436820992,0.15862560321201613,True,0.8280247580839598
refine_intermediate_0.005_R1.725_C0.590,modifier,intermediate,1.725,0.59,140.0,90.0,139.95366838673382,89.7625889323308,ok,192.6259180339985,140.11335633454496,89.64296662246788,116.0439460319882,72.01429242386187,4.212421503511307,1.6031792654609,0.9999303631856502,0.9999964829891752,0.999972237298276,1.000006834771813,0.0,493.796916106036,326.24047225515244,326.24047225515136,580.269690032286,977.950946648616,635.5414145896658,205.79986944484693,170.9939097155331,50.47038971207708,58.49424276389232,0.0098189540103135,0.0079391031858762,True,,190.0,757.0,0,False,0.0398097376930723,0.005,ok,0.15968794781113615,-0.119622309862919,True,0.8329015548070493
refine_intermediate_0.005_R1.730_C0.590,modifier,intermediate,1.73,0.59,140.0,90.0,139.95366838673382,89.7625889323308,ok,185.59325091500068,140.1798491315031,89.74868693435673,116.14184613061003,72.01449835210973,4.204455831603719,1.607702125548686,0.9999338207889265,0.9999966576156026,0.9999740016020824,1.0000062939355865,0.0,492.900554186208,325.476257909885,325.476257909885,579.2385445593918,976.051533477116,634.4215657428867,205.4264335980748,170.69519089853048,50.43116219714637,58.38346343879719,0.0118702342618064,0.0087220376231016,True,,183.0,758.0,0,False,0.051350994852051,0.005,ok,0.22618074476926608,-0.013901997974073765,True,0.8372574275573791
refine_intermediate_0.005_R1.730_C0.595,modifier,intermediate,1.73,0.595,140.0,90.0,139.95366838673382,89.7625889323308,ok,181.9400373920216,140.00026713472056,89.8916825207142,116.13734709353974,72.01470342199009,4.204312991228325,1.6077000138902355,0.9999503486413714,0.9999974923556252,0.9999802420142968,1.0000048129938648,0.0,493.00001138849,326.2857389744097,326.28573897440685,579.3850934927486,976.0987692721732,634.6047923693379,205.4678870350499,170.74903148456667,50.10858461400636,58.38131369634321,0.0129594804892292,0.0095243872586365,True,,179.0,758.0,0,False,0.0188365978756334,0.005,ok,0.046598747986735134,0.12909358838339813,True,0.8348203399534537
refine_intermediate_0.005_R1.735_C0.595,modifier,intermediate,1.735,0.595,140.0,90.0,139.95366838673382,89.7625889323308,ok,175.80878766498063,140.061200859939,89.99176046839698,116.23044503343895,72.01588188680755,4.196703663873269,1.6119954649017527,1.0000321326402122,1.0000016228606166,1.000016179419824,0.9999950397451626,0.0,483.5043204555018,321.2175340541056,321.2175340541051,566.2789847467488,968.2277033207258,618.9280241960842,201.49805544455188,166.30428598236318,50.06944039154202,58.27469655192898,0.0168444309610151,0.0106236994495958,True,,173.0,753.0,0,False,0.0640828257365506,0.005,ok,0.10753247320516834,0.22917153606617546,True,0.839196043841962
refine_mild_0.005_R1.300_C0.705,modifier,mild,1.3,0.705,130.0,80.0,129.01287026934924,80.18649564356137,ok,115.88214771499042,129.1462886176781,79.94266753884025,105.84611152059117,72.01426828157449,5.030478412617929,1.213234628488974,0.9998788545966826,0.999993881545287,0.9999480469642787,1.00001339255847,0.0,585.0724632067572,398.6344539043952,398.6344539043919,685.7316521832304,1167.764076309299,750.1288031528052,243.85684690262875,201.57889847253875,49.20362107883784,69.85391274058148,0.0100591847698581,0.0083744999747068,True,,113.0,600.0,0,False,0.0772526003226933,0.005,ok,0.1334183483288598,-0.2438281047211177,True,0.42074338972822856
refine_mild_0.005_R1.300_C0.715,modifier,mild,1.3,0.715,130.0,80.0,129.01287026934924,80.18649564356137,ok,121.82443149801112,128.85003421702768,80.25231888397161,105.83734157665846,72.0142670191615,5.030190469644089,1.2132250457725222,0.9998742011050364,0.9999936465204564,0.9999480109955344,1.0000133059834984,0.0,585.3866633295187,399.867079739566,399.86707973956607,686.1824907643764,1167.1608832248944,750.679131124743,243.9875372741068,201.7384745436152,48.59771533305607,69.84991554945161,0.0070123325198494,0.0066453286135583,True,,120.0,600.0,0,False,0.0308482789137713,0.005,ok,-0.16283605232155196,0.06582324041023924,True,0.4137934267240117
