case_id,route,target,R,C,requested_systolic_mmHg,requested_diastolic_mmHg,achieved_systolic_mmHg,achieved_diastolic_mmHg,status,wall_s,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,svr_mmHg_s_mL,baroreceptor_heart_rate_scale,baroreceptor_heart_elastance_scale,baroreceptor_resistance_scale,baroreceptor_compliance_scale,aorta_inflow_mL_s,BrainVasculature_inflow_mL_min,LeftKidneyVasculature_inflow_mL_min,RightKidneyVasculature_inflow_mL_min,GutVasculature_inflow_mL_min,LiverVasculature_inflow_mL_min,MuscleVasculature_inflow_mL_min,SkinVasculature_inflow_mL_min,MyocardiumVasculature_inflow_mL_min,pulse_pressure_mmHg,stroke_volume_mL,stationarity_sbp_bin_median_range_mmHg,stationarity_dbp_bin_median_range_mmHg,stationarity_pass,tissue_tuning_simulated_s,dynamic_stabilization_wall_s,dynamic_stabilization_simulated_s,cvp_out_of_range_warning_n,outside_reference_warning_seen,J,refinement_step
rerun_refine_higher_0.005_R1.995_C0.465,modifier,higher,1.995,0.465,150.0,90.0,148.60512489521057,90.7067870743288,ok,114.55859280002187,148.4314697754113,90.73243177118025,120.78325233949437,72.01244657051225,3.8427469439650723,1.8357328144360048,0.9997686022895793,0.9999883132469491,0.9999026275589203,1.0000253781984971,0.0,437.74957587791585,286.4146421809802,286.41464218097866,512.6284689925639,877.689536591984,560.0677337173518,182.4353418500017,150.47377659280005,57.699038004231056,53.362260650349924,0.014793572313493542,0.00889630777898276,True,,112.0,600.0,0,False,0.0308137511090991,0.005
rerun_refine_mild_0.005_R1.305_C0.705,modifier,mild,1.305,0.705,130.0,80.0,129.01287026934924,80.18649564356137,ok,120.82936781298486,129.25012077332647,80.13848060571439,105.98638566929523,72.01432406888992,5.019292192669981,1.2177369949252306,0.9998789764085093,0.9999938876973992,0.9999500496457757,1.0000127674658956,0.0,583.8591761032794,398.01847952573655,398.0184795257369,684.352418294922,1164.7179458626956,748.64523400201,243.350951363506,201.18583794388036,49.11164016761208,69.6985253637659,0.008174471771894787,0.006729579417438458,True,,119.0,600.0,0,False,0.0585932454968995,0.005
rerun_refine_mild_0.005_R1.300_C0.705,modifier,mild,1.3,0.705,130.0,80.0,129.01287026934924,80.18649564356137,ok,125.55168398297974,129.1462886176781,79.94266753884025,105.84611152059117,72.01426828157449,5.030478412617929,1.2132346284889741,0.9998788545966826,0.999993881545287,0.9999480469642787,1.00001339255847,0.0,585.0724632067572,398.6344539043952,398.6344539043919,685.7316521832304,1167.764076309299,750.1288031528052,243.85684690262875,201.57889847253875,49.20362107883784,69.85391274058148,0.01005918476985812,0.00837449997470685,True,,123.0,600.0,0,False,0.0772526003226933,0.005
rerun_refine_higher_0.02_R2.000_C0.460,modifier,higher,2.0,0.46,150.0,90.0,148.60512489521057,90.7067870743288,ok,128.697670138994,148.73766002454477,90.58337973431608,120.86639877964487,72.01234059366668,3.8363915137165483,1.8401653457257274,0.9997619467950261,0.9999879771108602,0.9998965366462614,1.000026972601894,0.0,436.8285250543338,284.91044012928,284.9104401292773,511.5163691266646,876.0403261225663,558.8265285362031,182.05143233472802,150.13604178519643,58.154280290228684,53.27408444288159,0.016760272809790422,0.010281924275417964,True,,126.0,600.0,0,False,0.0327949320766481,0.02
rerun_refine_intermediate_0.005_R1.735_C0.595,modifier,intermediate,1.735,0.595,140.0,90.0,139.95366838673382,89.7625889323308,ok,138.60523834600463,140.061200859939,89.99176046839698,116.23044503343895,72.01588188680755,4.196703663873269,1.6119954649017527,1.0000321326402122,1.0000016228606166,1.000016179419824,0.9999950397451626,0.0,483.50432045550184,321.2175340541056,321.2175340541051,566.2789847467488,968.2277033207258,618.9280241960842,201.49805544455188,166.30428598236318,50.06944039154202,58.27469655192898,0.016844430961015178,0.010623699449595847,True,,136.0,753.0,0,False,0.0640828257365506,0.005
rerun_refine_intermediate_0.005_R1.720_C0.595,modifier,intermediate,1.72,0.595,140.0,90.0,139.95366838673382,89.7625889323308,ok,139.68718645299668,139.86363520659435,89.67412696199857,115.93608418080669,72.01426853116612,4.220763056643564,1.5983960720184325,0.9999210463612316,0.9999960124424869,0.999968353965761,1.0000078360236233,0.0,494.761226070598,327.5195075950983,327.5195075951007,581.4101864712161,979.7971181906887,636.7972278857316,206.20181717939545,171.33245931837553,50.189508244595785,58.61009412067992,0.009468343145812241,0.00789997905941675,True,,138.0,753.0,0,False,0.0159314937210873,0.005
rerun_refine_higher_0.005_R2.000_C0.465,modifier,higher,2.0,0.465,150.0,90.0,148.60512489521057,90.7067870743288,ok,140.60291650198633,148.4788302155028,90.86246391026319,120.8657791182122,72.01193225736034,3.836364248399572,1.840153212966693,0.9997285729447004,0.9999862915628639,0.9998856999148407,1.0000298574688162,0.0,437.0661588712628,286.07038065901577,286.0703806590153,511.84778165672367,876.2003070783496,559.226193984105,182.1506875566482,150.25061476752398,57.61636630523961,53.2740079059253,0.017558441476154485,0.009844569681348503,True,,138.0,600.0,0,False,0.0401856233690297,0.005
rerun_refine_intermediate_0.005_R1.720_C0.590,modifier,intermediate,1.72,0.59,140.0,90.0,139.95366838673382,89.7625889323308,ok,143.36682616500184,140.04317454782858,89.53163122465878,115.94102691914392,72.01441058683773,4.220668283639566,1.5984213706065091,0.9999394830733599,0.9999969435895639,0.9999760533364412,1.0000058289664429,0.0,494.6498471068166,324.42819714049386,324.42819714049074,581.2524488436795,979.7442227004927,636.6046198236894,206.15539351712275,171.27705282280692,50.5115433231698,58.60866247804837,0.010344059976375775,0.008388512022222017,True,,141.0,753.0,0,False,0.0613528156070349,0.005
rerun_refine_intermediate_0.005_R1.730_C0.595,modifier,intermediate,1.73,0.595,140.0,90.0,139.95366838673382,89.7625889323308,ok,144.4659727809776,140.00026713472056,89.8916825207142,116.13734709353974,72.01470342199009,4.204312991228325,1.6077000138902355,0.9999503486413714,0.9999974923556252,0.9999802420142969,1.0000048129938648,0.0,493.00001138848995,326.2857389744097,326.28573897440685,579.3850934927486,976.0987692721731,634.6047923693379,205.4678870350499,170.74903148456667,50.10858461400636,58.38131369634321,0.012959480489229236,0.00952438725863658,True,,143.0,758.0,0,False,0.0188365978756334,0.005
rerun_refine_mild_0.005_R1.300_C0.715,modifier,mild,1.3,0.715,130.0,80.0,129.01287026934924,80.18649564356137,ok,146.0087048629939,128.85003421702768,80.25231888397161,105.83734157665846,72.0142670191615,5.030190469644089,1.2132250457725222,0.9998742011050363,0.9999936465204563,0.9999480109955345,1.0000133059834984,0.0,585.3866633295187,399.867079739566,399.86707973956607,686.1824907643764,1167.1608832248944,750.679131124743,243.98753727410678,201.7384745436152,48.59771533305607,69.84991554945161,0.007012332519849451,0.006645328613558377,True,,144.0,600.0,0,False,0.0308482789137713,0.005
