site,changed_factor,held_factor_level,case_a,case_b,phase_aligned_normalised_shape_rmse,optimal_phase_shift,stage4_6_perturbation_floor,effect_to_floor_ratio,clears_1p25x_floor
aortic_arch_I,inlet,direct,direct_inlet_direct_resistance,modifier_inlet_direct_resistance,0.058765645505413765,0.022,0.0264790831861762,2.2193232708333817,True
aortic_arch_I,inlet,modifier,direct_inlet_modifier_resistance,modifier_inlet_modifier_resistance,0.041566512269578554,0.018,0.0264790831861762,1.5697866869982482,True
aortic_arch_I,resistance,direct,direct_inlet_direct_resistance,direct_inlet_modifier_resistance,0.045775356558937656,-0.014,0.0264790831861762,1.7287364610431588,True
aortic_arch_I,resistance,modifier,modifier_inlet_direct_resistance,modifier_inlet_modifier_resistance,0.06575697916761869,-0.016,0.0264790831861762,2.4833555869467605,True
external_carotid_R,inlet,direct,direct_inlet_direct_resistance,modifier_inlet_direct_resistance,0.10438822552179437,0.006,0.0381773344686376,2.7342984253536224,True
external_carotid_R,inlet,modifier,direct_inlet_modifier_resistance,modifier_inlet_modifier_resistance,0.07413972805185134,0.0,0.0381773344686376,1.9419828304869369,True
external_carotid_R,resistance,direct,direct_inlet_direct_resistance,direct_inlet_modifier_resistance,0.06499279533049908,0.004,0.0381773344686376,1.7023921715616417,True
external_carotid_R,resistance,modifier,modifier_inlet_direct_resistance,modifier_inlet_modifier_resistance,0.09429732100585701,0.004,0.0381773344686376,2.4699817920321694,True
internal_carotid_R,inlet,direct,direct_inlet_direct_resistance,modifier_inlet_direct_resistance,0.12508155400957877,0.002,0.0411237971061224,3.041585719499549,True
internal_carotid_R,inlet,modifier,direct_inlet_modifier_resistance,modifier_inlet_modifier_resistance,0.15346005756663716,-0.004,0.0411237971061224,3.731660701725193,True
internal_carotid_R,resistance,direct,direct_inlet_direct_resistance,direct_inlet_modifier_resistance,0.09900152452009639,0.01,0.0411237971061224,2.407402319017796,True
internal_carotid_R,resistance,modifier,modifier_inlet_direct_resistance,modifier_inlet_modifier_resistance,0.07958903721768902,0.008,0.0411237971061224,1.9353523462900273,True
