site,metric,direct_route_value,modifier_route_value,direct_minus_modifier,absolute_effect,stage4_6_perturbation_floor,effect_to_floor_ratio,attribution_threshold_ratio,clears_1p25x_floor,phase_shift_direct_vs_modifier,comparison
aortic_arch_I,systolic_mmHg,124.27365209946596,120.25082526397864,4.022826835487322,4.022826835487322,5.17739768431899,0.7769978434670826,1.25,False,,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
aortic_arch_I,diastolic_mmHg,102.16703910538313,106.34928884847156,-4.182249743088434,4.182249743088434,4.230042473199788,0.9887015956898415,1.25,False,,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
aortic_arch_I,mean_mmHg,114.9947522081323,114.32176886182808,0.6729833463042212,0.6729833463042212,4.744868925191952,0.14183391720920846,1.25,False,,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
aortic_arch_I,pulse_pressure_mmHg,22.10661299408285,13.901536415507069,8.205076578575783,8.205076578575783,1.8487021370518304,4.438290200529878,1.25,True,,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
aortic_arch_I,time_to_peak_phase,0.344,0.324,0.019999999999999962,0.019999999999999962,0.1099999999999999,0.18181818181818163,1.25,False,,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
aortic_arch_I,phase_aligned_normalised_shape_rmse,,,,0.018710172597343845,0.0264790831861762,0.7066019795999496,1.25,False,0.006,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
external_carotid_R,systolic_mmHg,125.37903340610065,121.53125710337682,3.8477763027238296,3.8477763027238296,5.120386039422314,0.7514621501385741,1.25,False,,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
external_carotid_R,diastolic_mmHg,98.74711836979506,103.8648659385868,-5.117747568791742,5.117747568791742,4.189590828168193,1.2215387560959898,1.25,False,,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
external_carotid_R,mean_mmHg,114.72935179694552,114.2029395895474,0.5264122073981241,0.5264122073981241,4.746275062321828,0.11091059841369766,1.25,False,,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
external_carotid_R,pulse_pressure_mmHg,26.631915036305585,17.666391164790014,8.965523871515572,8.965523871515572,1.0128989650885811,8.851350609022992,1.25,True,,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
external_carotid_R,time_to_peak_phase,0.16,0.152,0.008000000000000007,0.008000000000000007,0.01,0.8000000000000007,1.25,False,,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
external_carotid_R,phase_aligned_normalised_shape_rmse,,,,0.04469424079923387,0.0381773344686376,1.170700925596308,1.25,False,0.006,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
internal_carotid_R,systolic_mmHg,132.37533415993371,128.69510930380872,3.680224856124994,3.680224856124994,5.257513691409031,0.6999933946227502,1.25,False,,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
internal_carotid_R,diastolic_mmHg,97.8567660419947,103.2173697795298,-5.360603737535101,5.360603737535101,4.159181996588586,1.2888601032443245,1.25,True,,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
internal_carotid_R,mean_mmHg,114.57070744493257,114.10858959475712,0.4621178501754457,0.4621178501754457,4.74706627215852,0.09734809326041237,1.25,False,,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
internal_carotid_R,pulse_pressure_mmHg,34.51856811793901,25.47773952427892,9.040828593660091,9.040828593660091,1.244158569885144,7.26662084118,1.25,True,,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
internal_carotid_R,time_to_peak_phase,0.132,0.122,0.010000000000000009,0.010000000000000009,0.008,1.250000000000001,1.25,True,,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
internal_carotid_R,phase_aligned_normalised_shape_rmse,,,,0.07761920941521458,0.0411237971061224,1.8874523968424803,1.25,True,0.008,direct inlet + direct WK3 resistance vs confirmed modifier inlet + modifier WK3 resistance
