case,vessel,systolic_mmHg,diastolic_mmHg,mean_mmHg,pulse_pressure_mmHg,time_to_peak_phase,openbf_converged,openbf_cycles,openbf_solver_elapsed_s,inlet_source,resistance_source,global_wk3_resistance_scale
direct_inlet_direct_resistance,aortic_arch_I,124.27365209946596,102.16703910538311,114.9947522081323,22.10661299408285,0.34400000000000003,True,9,33.778474795,direct,direct,1.1999752933638625
direct_inlet_direct_resistance,external_carotid_R,125.37903340610065,98.74711836979506,114.72935179694552,26.631915036305585,0.16,True,9,33.778474795,direct,direct,1.1999752933638625
direct_inlet_direct_resistance,internal_carotid_R,132.37533415993371,97.8567660419947,114.57070744493257,34.51856811793901,0.132,True,9,33.778474795,direct,direct,1.1999752933638625
direct_inlet_modifier_resistance,aortic_arch_I,197.59614378768515,177.47995677914363,188.81491605233148,20.116187008541516,0.334,True,15,59.129298834,direct,modifier,2.070977143573738
direct_inlet_modifier_resistance,external_carotid_R,198.00744883201864,174.51218003927104,188.7460940251653,23.495268792747595,0.392,True,15,59.129298834,direct,modifier,2.070977143573738
direct_inlet_modifier_resistance,internal_carotid_R,200.60487226489886,173.96843921536595,188.6696053155422,26.63643304953291,0.274,True,15,59.129298834,direct,modifier,2.070977143573738
modifier_inlet_direct_resistance,aortic_arch_I,77.95068591914107,62.657817952402134,72.02816410647591,15.292867966738932,0.232,True,4,14.215555333,modifier,direct,1.1999752933638625
modifier_inlet_direct_resistance,external_carotid_R,81.39817217879575,61.43349050668534,71.77054642030879,19.96468167211041,0.162,True,4,14.215555333,modifier,direct,1.1999752933638625
modifier_inlet_direct_resistance,internal_carotid_R,89.32013936266358,60.98412351977561,71.61510414536195,28.336015842887974,0.132,True,4,14.215555333,modifier,direct,1.1999752933638625
modifier_inlet_modifier_resistance,aortic_arch_I,120.25082526397863,106.34928884847156,114.32176886182808,13.901536415507067,0.324,True,12,43.422247648,modifier,modifier,2.070977143573738
modifier_inlet_modifier_resistance,external_carotid_R,121.53125710337682,103.8648659385868,114.20293958954741,17.666391164790014,0.152,True,12,43.422247648,modifier,modifier,2.070977143573738
modifier_inlet_modifier_resistance,internal_carotid_R,128.69510930380872,103.2173697795298,114.10858959475713,25.477739524278917,0.122,True,12,43.422247648,modifier,modifier,2.070977143573738
