case_id,target,R,C,refinement_step,search_valid,exclusion_reason,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,svr_mmHg_s_mL,baroreceptor_heart_rate_scale,baroreceptor_heart_elastance_scale,baroreceptor_resistance_scale,baroreceptor_compliance_scale,aorta_inflow_mL_s,BrainVasculature_inflow_mL_min,LeftKidneyVasculature_inflow_mL_min,RightKidneyVasculature_inflow_mL_min,GutVasculature_inflow_mL_min,LiverVasculature_inflow_mL_min,MuscleVasculature_inflow_mL_min,SkinVasculature_inflow_mL_min,MyocardiumVasculature_inflow_mL_min,pulse_pressure_mmHg,status,stationarity_sbp_bin_median_range_mmHg,stationarity_dbp_bin_median_range_mmHg,stationarity_pass,direct_target_systolic_mmHg,direct_target_diastolic_mmHg,J_against_direct_target,dynamic_stabilization_wall_s,dynamic_stabilization_simulated_s
refine_higher_0.005_R1.580_C0.480,higher,1.58,0.48,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,143.04311468471457,81.2890567836127,113.29860467675232,72.01120182071432,4.44396835459264,1.4800689095376691,0.9996890390979858,0.999984294903939,0.9998687069884362,1.000034203551348,0.0,517.4290918593081,306.9299174139165,306.9299174139165,606.2481469579566,1035.2208617424462,662.8488116989523,215.6555402692861,178.0901539813545,61.75405790110187,trace_complete_exploratory,0.01548230065159828,0.005772255083826394,True,148.60512489521057,90.7067870743288,119.62960141033345,196.0,958.0
refine_higher_0.005_R1.580_C0.485,higher,1.58,0.485,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.7365397309908,81.4644455317475,113.2296533646488,72.01240850762909,4.4488778100112665,1.4774531815336185,0.9998149763905986,0.9999906553732623,0.9999232225315708,1.0000196850045155,0.0,517.3028689533269,311.9258198221773,311.9258198221761,606.1589021069977,1034.397980813906,662.7878763912331,215.60258713204485,178.08160233210538,61.27209419924331,trace_complete_exploratory,0.01038094935290701,0.007832800920610339,True,148.60512489521057,90.7067870743288,119.86116901942427,221.0,893.0
refine_higher_0.005_R1.580_C0.490,higher,1.58,0.49,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.47761049230928,81.71245417839766,113.21531363072216,72.01198873211594,4.45008379996846,1.4768418234484015,0.9997490952526187,0.9999873280430613,0.999895129200226,1.000027151206756,0.0,517.512244127937,314.03220610091563,314.03220610091444,606.463951148066,1033.8727276624973,663.1637836589766,215.68975075746033,178.19121935988267,60.76515631391162,trace_complete_exploratory,0.012486017856616627,0.0062308534661639214,True,148.60512489521057,90.7067870743288,118.44445700059167,176.0,878.0
refine_higher_0.005_R1.580_C0.495,higher,1.58,0.495,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.31669578940244,82.16163214184739,113.3381149869472,72.01206430584726,4.441303286441857,1.481503027117056,0.9997565762346157,0.9999877058704352,0.9998982719317773,1.0000263333250583,0.0,523.5270358138059,314.76062618265826,314.7606261826569,614.3076994033042,1036.0911418059754,672.7910800920822,218.0535972077308,181.28023759020306,60.15506364755505,trace_complete_exploratory,0.012061095170651015,0.00787094628701368,True,148.60512489521057,90.7067870743288,112.5640134388861,235.0,993.0
refine_higher_0.005_R1.580_C0.500,higher,1.58,0.5,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.02025066898713,82.30809179040831,113.25947995353866,72.01207409697243,4.446824022079003,1.4785164767338048,0.9998077796806146,0.999990291903061,0.9999185671696087,1.000021563238994,0.0,522.7469168662217,320.3043204816345,320.3043204816356,613.3000194157976,1035.4083992788712,671.6264127817949,217.72812138998808,180.95683974978868,59.71215887857882,trace_complete_exploratory,0.011433685206100108,0.0076600169749809766,True,148.60512489521057,90.7067870743288,113.89865104732993,171.0,919.0
refine_higher_0.005_R1.580_C0.505,higher,1.58,0.505,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,141.71992570512512,82.44778693557514,113.17530937988502,72.01120512348498,4.452939503781134,1.4753820034854777,0.9997169285324489,0.9999857034612338,0.9998808287219725,1.0000310999713955,0.0,521.9996007422407,325.9514119947426,325.95141199474335,612.3504334991997,1034.7226112858455,670.5259418395341,217.41656664487155,180.65021415010574,59.27213876954998,trace_complete_exploratory,0.017547082549782544,0.007641359330747832,True,148.60512489521057,90.7067870743288,115.61705117908627,207.0,843.0
refine_higher_0.005_R1.580_C0.510,higher,1.58,0.51,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,141.48558326126263,82.71135210455654,113.18096736570472,72.01175257403479,4.452440333125655,1.475596182063731,0.9997542076150068,0.999987586243182,0.9998969574652926,1.0000268416551679,0.0,519.8854216250588,320.54710867083077,320.5471086708291,609.6016267123541,1034.852800077756,667.0887296969856,216.6066811105884,179.49340913472412,58.774231156706094,trace_complete_exploratory,0.015445927725920683,0.008385730851216522,True,148.60512489521057,90.7067870743288,114.61485343337517,169.0,848.0
refine_higher_0.005_R1.580_C0.515,higher,1.58,0.515,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,141.25083143048428,82.96196983936397,113.17864125758943,72.012198548287,4.452310054306195,1.4756127789079685,0.9997974845683145,0.9999897719478936,0.999915135459627,1.0000219702453816,0.0,520.7751591211414,321.7333552848655,321.7333552848652,610.6333309702783,1035.0336519401253,668.4558022940387,216.9058965233251,180.05636718117657,58.28886159112031,trace_complete_exploratory,0.012021597779295234,0.008061579287641507,True,148.60512489521057,90.7067870743288,114.06782636832395,175.0,848.0
refine_higher_0.005_R1.580_C0.520,higher,1.58,0.52,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,141.02739560245462,83.21808277318276,113.18322404925486,72.01250639165487,4.451766912667106,1.4758374911689427,0.9998171430877134,0.99999076480241,0.9999234841432312,1.0000198370725593,0.0,520.261783410707,325.5489822140324,325.54898221403096,609.9147640089534,1035.2788531924602,667.5909235313239,216.69180949501336,179.8086031908048,57.80931282927186,trace_complete_exploratory,0.01108051867828408,0.007624033961334931,True,148.60512489521057,90.7067870743288,113.5026733442948,193.0,853.0
refine_higher_0.005_R1.585_C0.480,higher,1.585,0.48,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,143.06242810293898,81.34908460712539,113.33631195022318,72.01214080594366,4.44026498744911,1.481829362265728,0.9997615303734876,0.9999879560794684,0.999900638935339,1.0000257549760057,0.0,516.035146280862,310.4734708975868,310.47347089758404,604.6365765538922,1032.301016893922,661.093126629057,215.0741688125724,177.62100996759852,61.71334349581359,trace_complete_exploratory,0.012050000132916239,0.006311323956680326,True,148.60512489521057,90.7067870743288,118.28808319576251,226.0,888.0
refine_higher_0.005_R1.585_C0.485,higher,1.585,0.485,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.78955378504864,81.59188704194051,113.3120147585898,72.01097798738002,4.441859461963086,1.480977335489614,0.9996712597780593,0.9999833969584879,0.9998609206402815,1.0000362754007297,0.0,516.2233533548111,312.94723351904514,312.94723351904406,604.9170831323995,1031.8319037643373,661.4435966432677,215.1524104219263,177.72413977342802,61.19766674310813,trace_complete_exploratory,0.01642192129654063,0.005711511950607928,True,148.60512489521057,90.7067870743288,116.90226993778211,174.0,868.0
refine_higher_0.005_R1.585_C0.490,higher,1.585,0.49,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.52865567571132,81.84061422065109,113.2971412030686,72.01150150125753,4.442968677997991,1.480375743700324,0.9997518079427594,0.9999874650476144,0.9998954255773196,1.0000272371029328,0.0,522.3910312948218,321.42289634677854,321.4228963467782,613.1340330837677,1032.2435506736026,671.6065054976781,217.5806373271895,180.9821272987351,60.68804145506023,trace_complete_exploratory,0.016325990618128117,0.006236397822647177,True,148.60512489521057,90.7067870743288,115.53249924681332,214.0,853.0
refine_higher_0.005_R1.585_C0.495,higher,1.585,0.495,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.28250454584207,82.10854753221467,113.29775484239454,72.0111055412571,4.443146394712869,1.4803558298107806,0.999717657256602,0.9999857402654853,0.999880835465407,1.0000311016336343,0.0,521.7590601037148,322.51067107032395,322.51067107032225,612.2615921983969,1032.4290901249174,670.5571525258629,217.3170070210433,180.68097332547828,60.1739570136274,trace_complete_exploratory,0.017877329985509505,0.006050039908231497,True,148.60512489521057,90.7067870743288,113.90525130582353,162.0,853.0
refine_higher_0.005_R1.585_C0.500,higher,1.585,0.5,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.0369294204759,82.37369948116103,113.29730257784348,72.01167128807512,4.443123185182067,1.480362892891803,0.9997462728569391,0.9999871854978248,0.9998935602242409,1.0000277186544335,0.0,521.0422228894753,317.567414516523,317.5674145165224,611.2466895429184,1032.524430545207,669.3311190036133,217.01791448691404,180.3302009657781,59.663229939314874,trace_complete_exploratory,0.016241993472704053,0.00854000184637016,True,148.60512489521057,90.7067870743288,112.58154062973165,184.0,853.0
refine_higher_0.005_R1.585_C0.505,higher,1.585,0.505,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,141.7905065772359,82.624269660318,113.29027406777456,72.01231835123544,4.443364918319543,1.480181361389765,0.9998062175655791,0.9999902130083635,0.9999190654965376,1.0000208622098512,0.0,517.1947538653421,318.7913994677406,318.7913994677388,606.3073753848805,1029.9708839268453,663.1415674997388,215.55647629255645,178.21615688066817,59.166236916917896,trace_complete_exploratory,0.011165471747204947,0.008012224124527734,True,148.60512489521057,90.7067870743288,111.76611056746356,167.0,848.0
refine_higher_0.005_R1.585_C0.510,higher,1.585,0.51,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,141.55803091500596,82.88717285960065,113.29464162048376,72.01232006259265,4.442935841605661,1.4803908840412676,0.9998085928961888,0.9999903329745553,0.9999199701864236,1.0000206570757442,0.0,519.9273463421948,319.87750680599606,319.8775068059956,609.696287599312,1032.8761334534374,667.4639971248127,216.5529154167477,179.7956062091069,58.670858055405304,trace_complete_exploratory,0.011440272658347794,0.007998101954697745,True,148.60512489521057,90.7067870743288,110.80790003301453,190.0,853.0
refine_higher_0.005_R1.585_C0.515,higher,1.585,0.515,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,141.33355104442845,83.14651636576689,113.3016701335195,72.01223107937408,4.442459214941098,1.4806161460151288,0.9997691308099095,0.9999883399398939,0.9999036697952293,1.0000249915254593,0.0,517.8015755436888,320.5195125253982,320.51951252539595,607.1369694715961,1031.1808261651481,664.1321424408596,215.80920798884,178.49913715761699,58.18703467866156,trace_complete_exploratory,0.011783250919847887,0.006615887810440313,True,148.60512489521057,90.7067870743288,110.03347945411758,167.0,858.0
refine_higher_0.005_R1.585_C0.520,higher,1.585,0.52,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,141.10433305140646,83.39318732192154,113.29936485729893,72.0121009826978,4.442455689709738,1.4806116975372554,0.9997578081095853,0.9999877680863418,0.9998991073222814,1.0000261568869733,0.0,518.839552522566,324.720047890576,324.72004789057405,608.174422577416,1033.2716810230304,665.6247167935612,216.09934040102672,179.26796153611397,57.71114572948491,trace_complete_exploratory,0.011907272408478775,0.008187414938461757,True,148.60512489521057,90.7067870743288,109.75061962248972,165.0,858.0
refine_higher_0.005_R1.590_C0.480,higher,1.59,0.48,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,143.1076854000384,81.46886718142906,113.411210270595,72.01155670107221,4.433535060118346,1.4851497982021828,0.9997496676635358,0.9999873569527036,0.9998947133621002,1.0000273837126086,0.0,514.9167172615923,311.72101507614025,311.72101507613877,603.3580330551583,1029.7471025552427,659.7126943557357,214.607782636234,177.25430350256664,61.638818218609345,trace_complete_exploratory,0.014352639281582924,0.006343406808056784,True,148.60512489521057,90.7067870743288,115.56100495071146,165.0,859.0
refine_higher_0.005_R1.590_C0.485,higher,1.59,0.485,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.85091757975633,81.73763442915505,113.40750570554458,72.01113924081903,4.434190887539615,1.4849182511711037,0.9997184946849695,0.9999857825598462,0.9998812113306614,1.0000309984385845,0.0,521.5496179570109,313.58030270371376,313.58030270371245,612.2108368366007,1029.9768947213206,670.6360624114775,217.2302565579327,180.72776488585436,61.113283150601276,trace_complete_exploratory,0.01794072466759644,0.00598362116149076,True,148.60512489521057,90.7067870743288,113.55660100165434,187.0,853.0
refine_higher_0.005_R1.590_C0.490,higher,1.59,0.49,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.59666924735768,82.01071131055993,113.40786408058725,72.01189836440066,4.434134122251789,1.4849359575572674,0.9997652703343229,0.9999881449663806,0.9999017238487421,1.0000255750337659,0.0,515.4845171340569,314.4916869184665,314.4916869184657,604.1568846910222,1028.8462194783538,660.6805953568123,214.84404516007325,177.53372139795027,60.585957936797755,trace_complete_exploratory,0.014496743304789561,0.008442387940377216,True,148.60512489521057,90.7067870743288,111.72327296142363,165.0,853.0
refine_higher_0.005_R1.590_C0.495,higher,1.59,0.495,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.35209403964203,82.28565333987876,113.41218662338916,72.01209322437964,4.433681573706102,1.4851561681103902,0.9997906073632,0.9999894246143035,0.9999122752450837,1.0000227672213677,0.0,520.2909086559232,321.6834635810819,321.6834635810816,610.4527226585501,1030.3996899239576,668.5117979808922,216.70518150717805,180.11907173503496,60.06644069976326,trace_complete_exploratory,0.014484150755151859,0.008227355470907582,True,148.60512489521057,90.7067870743288,110.01588825418466,195.0,858.0
refine_higher_0.005_R1.590_C0.500,higher,1.59,0.5,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.1044242939869,82.54152803926321,113.4055042775902,72.01243409138594,4.434007715866602,1.484957287111374,0.9998176308890092,0.9999907894388382,0.9999243580578759,1.0000194111526137,0.0,516.0566559598624,316.9421074669424,316.9421074669424,604.9497631580914,1029.2434844486615,661.635311410408,215.08210814977727,177.80815302654932,59.5628962547237,trace_complete_exploratory,0.010175027562524974,0.00791204611219598,True,148.60512489521057,90.7067870743288,108.93056341646982,207.0,853.0
refine_higher_0.005_R1.590_C0.505,higher,1.59,0.505,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,141.87260995871722,82.80838539788776,113.41307871601968,72.01222057538321,4.433568577493288,1.485179903962482,0.9997687765377476,0.9999883220473619,0.9999036289238603,1.000024980508607,0.0,519.0901565834688,317.996718137518,317.9967181375179,608.769332071277,1030.7349030784044,666.4831432528854,216.20450009984324,179.53750220140566,59.06422456082946,trace_complete_exploratory,0.011887945647515608,0.006723408380551632,True,148.60512489521057,90.7067870743288,107.71150641251262,173.0,858.0
refine_higher_0.005_R1.590_C0.510,higher,1.59,0.51,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,141.640802734347,83.07089520774288,113.41694408348224,72.01218478328929,4.4331745719143125,1.48538719237701,0.9997654072774755,0.9999881518827018,0.999902232376982,1.0000253505652354,0.0,518.528481409727,321.758427974091,321.7584279740886,607.9806265218812,1030.9610363398383,665.5259969676565,215.97021167064645,179.26258707058983,58.569907526604126,trace_complete_exploratory,0.011713671895051903,0.008352708235705109,True,148.60512489521057,90.7067870743288,106.80862775848831,169.0,863.0
refine_higher_0.005_R1.590_C0.515,higher,1.59,0.515,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,141.40758328021172,83.32143196666891,113.41478432710528,72.01195796056999,4.433147856672818,1.4853856383216433,0.9997461159572874,0.9999871775736002,0.9998939123068336,1.0000274737288435,0.0,516.8850923789082,319.7152565550353,319.7152565550374,606.0970964829369,1029.007939389419,663.0153795702031,215.42711337611888,178.20331525242017,58.086151313542814,trace_complete_exploratory,0.012493990679985245,0.006337862209591094,True,148.60512489521057,90.7067870743288,106.34807536587815,216.0,864.0
refine_higher_0.005_R1.590_C0.520,higher,1.59,0.52,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,141.1818724169259,83.5758605968318,113.41789566734964,72.01162405565097,4.432716982521936,1.4855919562595363,0.9997209304082832,0.9999859055761768,0.9998824706106479,1.0000304731587113,0.0,517.4230057564225,320.6857145069738,320.6857145069739,606.4494613286925,1031.3025612068914,663.648225015911,215.52530406200344,178.7244169666194,57.606011820094096,trace_complete_exploratory,0.01372152640863078,0.007248192313028312,True,148.60512489521057,90.7067870743288,105.95478978382721,221.0,868.0
refine_higher_0.005_R1.595_C0.480,higher,1.595,0.48,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,143.17727116314683,81.6398407633037,113.52133329467743,72.01161477217764,4.424873054965675,1.4896988429892255,0.9997431256011926,0.999987026545516,0.9998921157070878,1.000028052387639,0.0,520.752396940078,317.59844839426387,317.5984483942616,611.3461293266967,1027.793869843484,669.7291060852411,216.8984232945702,180.49138476912216,61.53743039984313,trace_complete_exploratory,0.01706229742586629,0.008756429504131802,True,148.60512489521057,90.7067870743288,111.67111154369003,169.0,858.0
refine_higher_0.005_R1.595_C0.485,higher,1.595,0.485,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.92006387923396,81.91483189012013,113.52189989190954,72.01200975740397,4.424788910088263,1.4897160485968683,0.9997787043093653,0.9999888234499674,0.9999071466771605,1.0000241302054365,0.0,517.1753155092432,312.62078870001676,312.6207887000172,606.5402466038724,1027.9077627596594,663.8073279583502,215.4779712549025,178.62353872729062,61.00523198911384,trace_complete_exploratory,0.013633615175422165,0.008379359052071322,True,148.60512489521057,90.7067870743288,109.61839471651069,180.0,858.0
refine_higher_0.005_R1.595_C0.490,higher,1.595,0.49,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.67225784439174,82.19425577848587,113.52675554308226,72.01210744277455,4.424365378468867,1.489932741735287,0.9997876677494915,0.9999892761489633,0.9999110486528324,1.0000230798253193,0.0,514.6386899992854,313.4791236746337,313.4791236746329,603.1998943657678,1027.35575164284,659.6562732299305,214.49120157828168,177.26411365142542,60.47800206590587,trace_complete_exploratory,0.012814980747265281,0.008254729656727022,True,148.60512489521057,90.7067870743288,107.66210050539706,165.0,864.0
