case_id,route,target,R,C,requested_systolic_mmHg,requested_diastolic_mmHg,achieved_systolic_mmHg,achieved_diastolic_mmHg,status,wall_s,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,svr_mmHg_s_mL,baroreceptor_heart_rate_scale,baroreceptor_heart_elastance_scale,baroreceptor_resistance_scale,baroreceptor_compliance_scale,aorta_inflow_mL_s,BrainVasculature_inflow_mL_min,LeftKidneyVasculature_inflow_mL_min,RightKidneyVasculature_inflow_mL_min,GutVasculature_inflow_mL_min,LiverVasculature_inflow_mL_min,MuscleVasculature_inflow_mL_min,SkinVasculature_inflow_mL_min,MyocardiumVasculature_inflow_mL_min,pulse_pressure_mmHg,stroke_volume_mL,stationarity_sbp_bin_median_range_mmHg,stationarity_dbp_bin_median_range_mmHg,stationarity_pass,tissue_tuning_simulated_s,dynamic_stabilization_wall_s,dynamic_stabilization_simulated_s,cvp_out_of_range_warning_n,outside_reference_warning_seen,J,refinement_step
refine_higher_0.005_R1.985_C0.445,modifier,higher,1.985,0.445,150.0,90.0,148.60512489521057,90.7067870743288,ok,120.63379886501934,149.39543429681487,89.47127131918486,120.62542194764535,72.01324142028523,3.8558181219443854,1.8268820760040698,0.9998351283022691,0.9999916731465788,0.9999312324500242,1.0000177360082116,0.0,438.09795218249155,282.271069975205,282.2710699752049,512.753497669894,880.0295959927605,560.0144691750031,182.5797598431799,150.42207541690425,59.924162977630004,53.54318241892455,0.011461007318445127,0.006879400600595886,True,,118.0,600.0,0,False,2.151088131473044,0.005
refine_higher_0.005_R1.980_C0.445,modifier,higher,1.98,0.445,150.0,90.0,148.60512489521057,90.7067870743288,ok,121.62884170099278,149.35196288335732,89.38535573966334,120.54521429562908,72.01416731839934,3.8625851520292502,1.8224198701971774,0.9998740455596141,0.999993638664627,0.9999448467959349,1.0000149749741234,0.0,438.77594649240166,282.6087818636762,282.60878186367506,513.5286049312953,881.508031611972,560.8503040728024,182.86213234469895,150.64411535407777,59.96660714369398,53.6364620443563,0.009646372498139044,0.009815772733929862,True,,119.0,600.0,0,False,2.3039477527748313,0.005
refine_higher_0.005_R1.985_C0.450,modifier,higher,1.985,0.45,150.0,90.0,148.60512489521057,90.7067870743288,ok,122.51496933601447,149.12679685092,89.67415185897329,120.62269365324482,72.01252222606749,3.855771801327533,1.826878931544833,0.9997972354066381,0.9999897593639712,0.999912894867353,1.0000231680854608,0.0,438.38722803205155,283.5272982972342,283.5272982972342,513.1573671830508,880.2312039693211,560.5005231975674,182.7005249539194,150.56068240595673,59.4526449919467,53.54307392849239,0.010825244789913313,0.004700819670389933,True,,120.0,600.0,0,False,1.3384771173660182,0.005
refine_higher_0.005_R1.985_C0.440,modifier,higher,1.985,0.44,150.0,90.0,148.60512489521057,90.7067870743288,ok,122.71599693200551,149.6709166364301,89.2663265178839,120.62757108090241,72.01391030272066,3.8559322022878315,1.8268679378387698,0.9998549999696033,0.9999926767661416,0.9999363336163074,1.0000165021933491,0.0,437.80154432034567,280.98434092250136,280.98434092250176,512.3454813268042,879.8190891570939,559.5249644529247,182.45604538237387,150.28222530276238,60.404590118546196,53.544269240190886,0.00994149304440839,0.008853334430938276,True,,120.0,600.0,0,False,3.2108386503253152,0.005
refine_higher_0.005_R1.980_C0.450,modifier,higher,1.98,0.45,150.0,90.0,148.60512489521057,90.7067870743288,ok,128.35805219001486,149.08287918806093,89.58845603483198,120.54501516661114,72.0137433786061,3.8624626191471405,1.8224161218144492,0.9998436082056028,0.9999921014245257,0.9999349095614466,1.0000167822681,0.0,439.0635165301138,283.87070896069196,283.87070896068997,513.9295940390791,881.7041793228113,561.3339022843046,182.98217876224976,150.78244188614156,59.49442315322895,53.635076277601264,0.01034150144712953,0.008410139484595902,True,,126.0,600.0,0,False,1.4789134782389959,0.005
refine_higher_0.005_R1.985_C0.465,modifier,higher,1.985,0.465,150.0,90.0,148.60512489521057,90.7067870743288,ok,149.98829087099875,148.33682702278543,90.47048598702617,120.61992483459804,72.01232396133007,3.855759016003375,1.8268764581141337,0.9997739522601607,0.9999885834474826,0.9999057990372457,1.0000249552780094,0.0,439.13635553855556,287.1110762354656,287.1110762354683,514.2053986225264,880.7121938302694,561.7680326692885,183.01296125249027,150.92492027409958,57.86634103575926,53.54304380002902,0.012157376881987147,0.007175485773842638,True,,147.0,600.0,0,False,0.12782195220826284,0.005
refine_higher_0.005_R1.980_C0.465,modifier,higher,1.98,0.465,150.0,90.0,148.60512489521057,90.7067870743288,ok,150.01707115900354,148.29037055188195,90.33957503267823,120.5380245426268,72.01237515842999,3.862296772541537,1.8224279794669949,0.9997820568213069,0.9999889927687525,0.9999064678952914,1.0000248511058898,0.0,439.8361853690776,287.4602989450144,287.4602989450129,515.0038708085103,882.2271375753494,562.6268013042893,183.30456635500892,151.15238738708024,57.95079551920372,53.63379230367469,0.010291638525785629,0.006466691125481816,True,,147.0,600.0,0,False,0.23391498017741177,0.005
refine_higher_0.005_R1.980_C0.455,modifier,higher,1.98,0.455,150.0,90.0,148.60512489521057,90.7067870743288,ok,150.0238843120169,148.816200120692,89.78818849961539,120.54168795937984,72.01305296626694,3.8623242554650483,1.8224299356217273,0.9998315479824942,0.9999914923223476,0.9999297711211756,1.0000186261112454,0.0,439.3433090613773,285.1008691544829,285.1008691544817,514.3132495425232,881.9022447750037,561.7939808228891,183.09895594888573,150.91378422330936,59.028011621076615,53.63366912487763,0.01178882782167534,0.006377269728702117,True,,147.0,600.0,0,False,0.8883760922775552,0.005
refine_higher_0.005_R1.990_C0.440,modifier,higher,1.99,0.44,150.0,90.0,148.60512489521057,90.7067870743288,ok,153.29075580998324,149.71218907258412,89.35075809885015,120.7045099364262,72.01270265919473,3.849137871734682,1.831324631501912,0.9998111351358554,0.999990461370498,0.9999188722797603,1.0000215792030454,0.0,437.131031913568,280.64705628260987,280.6470562826098,511.5803145782835,878.3550400721006,558.6997925768878,182.1768225651552,150.0626839258947,60.361430973733974,53.45081811400695,0.01140927348723153,0.005223297543921035,True,,150.0,600.0,0,False,3.064405675161474,0.005
refine_higher_0.005_R1.985_C0.455,modifier,higher,1.985,0.455,150.0,90.0,148.60512489521057,90.7067870743288,ok,153.28318177201436,148.8604476723454,89.9057054677682,120.62150399876035,72.01236955616095,3.8557697771514166,1.82687986013615,0.9997829344282336,0.9999890370923348,0.9999069546899386,1.0000247322175284,0.0,438.65320230292315,284.7534044191949,284.7534044191929,513.5288957099915,880.4041367836428,560.9488858063994,182.81146075076137,150.68929623327108,58.9547422045772,53.54315933381948,0.010483266903349886,0.006532458989909173,True,,150.0,600.0,0,False,0.7069214608935583,0.005
refine_higher_0.005_R1.985_C0.475,modifier,higher,1.985,0.475,150.0,90.0,148.60512489521057,90.7067870743288,ok,166.02942499198252,147.91222919159264,91.51737523108315,120.87184361572082,72.0139773199449,3.823033536904488,1.8468914779963779,0.9999403772692272,0.999996988750971,0.9999755674157198,1.0000062010743498,0.0,440.9794077656511,269.6569675512211,269.6569675512207,516.5421158183253,883.3113049985873,564.4579985943246,183.77577871121593,151.6710838348082,56.394853960509494,53.08738218859168,0.0072216085077911885,0.012204797856014693,True,,164.0,895.0,0,False,1.1371576159625876,0.005
refine_higher_0.005_R1.980_C0.475,modifier,higher,1.98,0.475,150.0,90.0,148.60512489521057,90.7067870743288,ok,168.71487401402555,147.8696564481281,91.38270999611021,120.7886352710062,72.01584556092844,3.8302614099364067,1.842031452082475,1.0000427626015105,1.000002159727349,1.0000204948410396,0.9999940732316648,0.0,441.66593103643515,270.3525434585398,270.3525434585405,517.3313904551917,884.7764780703723,565.31142968941,184.06197505113897,151.89783221026835,56.48694645201789,53.1863700287438,0.014670925933074841,0.017083601527829728,True,,166.0,890.0,0,False,0.9977856328434105,0.005
refine_higher_0.005_R1.980_C0.470,modifier,higher,1.98,0.47,150.0,90.0,148.60512489521057,90.7067870743288,ok,177.45035528601147,148.12423180505104,91.13172163169493,120.7998526200777,72.01673904820792,3.829472697013356,1.8426586177897062,1.0000966347912907,1.0000048805450152,1.0000439227434224,0.9999876137435695,0.0,445.73339830327757,268.6632558248698,268.66325582486786,523.0359077995342,887.6531355601909,572.1842339176969,185.76307905267274,153.85376019543907,56.99251017335611,53.174758363467575,0.01853331466938357,0.019011956106027128,True,,174.0,900.0,0,False,0.4118275422071258,0.005
refine_higher_0.005_R1.985_C0.470,modifier,higher,1.985,0.47,150.0,90.0,148.60512489521057,90.7067870743288,ok,179.6255298279866,148.16363648999953,91.25067233875234,120.87230123918525,72.01481867848554,3.8230588737704694,1.8469008144228045,0.9999734405184119,0.9999986586120406,0.9999899655873743,1.0000022952731826,0.0,440.7409850748695,268.44709822681364,268.4470982268136,516.2104222919625,883.1473010420532,564.0582287733157,183.67626668204701,151.55673684376595,56.912964151247195,53.08711379027064,0.010346240503423587,0.014912297574369404,True,,177.0,895.0,0,False,0.49072319279284127,0.005
refine_higher_0.005_R1.985_C0.460,modifier,higher,1.985,0.46,150.0,90.0,148.60512489521057,90.7067870743288,ok,182.54072679698584,148.6796503205317,90.70498716726466,120.88070683215743,72.01517963380984,3.8228383779453745,1.847145151760337,1.0000000000795568,1.0000000000040181,1.0000000000515135,0.9999999999803186,0.0,448.9924970495159,266.1501783715438,266.1501783715441,527.797104469927,888.903473920617,578.0245017678537,187.1276782451958,155.53162583084014,57.97466315326703,53.08378590991697,0.013188760435781433,0.016302199767793013,True,,180.0,899.0,0,False,0.00555727868473444,0.005
refine_higher_0.005_R1.985_C0.480,modifier,higher,1.985,0.48,150.0,90.0,148.60512489521057,90.7067870743288,ok,226.0472741019912,147.6655954463737,91.77301879882867,120.86609742516433,72.01399052503679,3.823515091867168,1.8465684598410932,0.9999402834450724,0.9999969840123784,0.9999755433698597,1.0000062037002986,0.0,441.15778481165773,271.0032627832392,271.00326278323803,516.7984315419151,883.3926104723704,564.771111901686,183.85031915323924,151.76172417318912,55.89257664754501,53.09405941804965,0.007788874732170825,0.012274007065286696,True,,223.0,890.0,0,False,2.0195656755617004,0.005
refine_higher_0.005_R1.990_C0.450,modifier,higher,1.99,0.45,150.0,90.0,148.60512489521057,90.7067870743288,ok,121.58192324300762,149.17313823861542,89.75959834947517,120.70312720549882,72.01238235517816,3.849242230860858,1.831329028395879,0.9997825781879601,0.9999890191004022,0.9999067057451423,1.0000247890228193,0.0,437.7029934659063,283.18985740665335,283.1898574066553,512.3789014244219,878.7312897572939,559.6631224060476,182.41541155032633,150.33903079105752,59.41353988914025,53.45250504108718,0.010087014672279793,0.00480798325042997,True,,119.0,600.0,0,False,1.2198056387758134,0.005
refine_higher_0.005_R1.990_C0.445,modifier,higher,1.99,0.445,150.0,90.0,148.60512489521057,90.7067870743288,ok,124.11749512900133,149.43991876656733,89.55628886169796,120.7039126167993,72.01236579052414,3.8492454988463622,1.8313301055317874,0.9997830303987889,0.9999890419393329,0.9999069926291749,1.0000247252605827,0.0,437.4212194545048,281.9317784577871,281.93177845778587,511.98470933568274,878.5483260678243,559.1873729032025,182.2978516261433,150.20248410785698,59.883629904869366,53.45256271740028,0.010242086871301126,0.004759297008462227,True,,121.0,600.0,0,False,2.0205269449215653,0.005
