target_systolic_mmHg,target_diastolic_mmHg,lookup_reachable,resistance_multiplier,compliance_multiplier,estimated_systolic_mmHg,estimated_diastolic_mmHg,estimated_systolic_residual_mmHg,estimated_diastolic_residual_mmHg,estimated_euclidean_residual_mmHg,validation_status,restabilization_wall_s,achieved_systolic_mmHg,achieved_diastolic_mmHg,achieved_map_mmHg,achieved_pulse_pressure_mmHg,achieved_heart_rate_per_min,achieved_cardiac_output_L_min,achieved_systolic_residual_mmHg,achieved_diastolic_residual_mmHg,achieved_euclidean_residual_mmHg,validated_within_tolerance
80,45,False,,,,,,,,,,,,,,,,,,,False
80,50,False,,,,,,,,,,,,,,,,,,,False
80,55,False,,,,,,,,,,,,,,,,,,,False
80,60,False,,,,,,,,,,,,,,,,,,,False
80,65,False,,,,,,,,,,,,,,,,,,,False
80,70,False,,,,,,,,,,,,,,,,,,,False
80,75,False,,,,,,,,,,,,,,,,,,,False
80,80,False,,,,,,,,,,,,,,,,,,,False
80,85,False,,,,,,,,,,,,,,,,,,,False
80,90,False,,,,,,,,,,,,,,,,,,,False
80,95,False,,,,,,,,,,,,,,,,,,,False
80,100,False,,,,,,,,,,,,,,,,,,,False
80,105,False,,,,,,,,,,,,,,,,,,,False
80,110,False,,,,,,,,,,,,,,,,,,,False
80,115,False,,,,,,,,,,,,,,,,,,,False
80,120,False,,,,,,,,,,,,,,,,,,,False
80,125,False,,,,,,,,,,,,,,,,,,,False
85,45,False,,,,,,,,,,,,,,,,,,,False
85,50,False,,,,,,,,,,,,,,,,,,,False
85,55,False,,,,,,,,,,,,,,,,,,,False
85,60,False,,,,,,,,,,,,,,,,,,,False
85,65,False,,,,,,,,,,,,,,,,,,,False
85,70,False,,,,,,,,,,,,,,,,,,,False
85,75,False,,,,,,,,,,,,,,,,,,,False
85,80,False,,,,,,,,,,,,,,,,,,,False
85,85,False,,,,,,,,,,,,,,,,,,,False
85,90,False,,,,,,,,,,,,,,,,,,,False
85,95,False,,,,,,,,,,,,,,,,,,,False
85,100,False,,,,,,,,,,,,,,,,,,,False
85,105,False,,,,,,,,,,,,,,,,,,,False
85,110,False,,,,,,,,,,,,,,,,,,,False
85,115,False,,,,,,,,,,,,,,,,,,,False
85,120,False,,,,,,,,,,,,,,,,,,,False
85,125,False,,,,,,,,,,,,,,,,,,,False
90,45,False,,,,,,,,,,,,,,,,,,,False
90,50,False,,,,,,,,,,,,,,,,,,,False
90,55,False,,,,,,,,,,,,,,,,,,,False
90,60,False,,,,,,,,,,,,,,,,,,,False
90,65,False,,,,,,,,,,,,,,,,,,,False
90,70,False,,,,,,,,,,,,,,,,,,,False
90,75,False,,,,,,,,,,,,,,,,,,,False
90,80,False,,,,,,,,,,,,,,,,,,,False
90,85,False,,,,,,,,,,,,,,,,,,,False
90,90,False,,,,,,,,,,,,,,,,,,,False
90,95,False,,,,,,,,,,,,,,,,,,,False
90,100,False,,,,,,,,,,,,,,,,,,,False
90,105,False,,,,,,,,,,,,,,,,,,,False
90,110,False,,,,,,,,,,,,,,,,,,,False
90,115,False,,,,,,,,,,,,,,,,,,,False
90,120,False,,,,,,,,,,,,,,,,,,,False
90,125,False,,,,,,,,,,,,,,,,,,,False
95,45,False,,,,,,,,,,,,,,,,,,,False
95,50,False,,,,,,,,,,,,,,,,,,,False
95,55,False,,,,,,,,,,,,,,,,,,,False
95,60,False,,,,,,,,,,,,,,,,,,,False
95,65,False,,,,,,,,,,,,,,,,,,,False
95,70,False,,,,,,,,,,,,,,,,,,,False
95,75,False,,,,,,,,,,,,,,,,,,,False
95,80,False,,,,,,,,,,,,,,,,,,,False
95,85,False,,,,,,,,,,,,,,,,,,,False
95,90,False,,,,,,,,,,,,,,,,,,,False
95,95,False,,,,,,,,,,,,,,,,,,,False
95,100,False,,,,,,,,,,,,,,,,,,,False
95,105,False,,,,,,,,,,,,,,,,,,,False
95,110,False,,,,,,,,,,,,,,,,,,,False
95,115,False,,,,,,,,,,,,,,,,,,,False
95,120,False,,,,,,,,,,,,,,,,,,,False
95,125,False,,,,,,,,,,,,,,,,,,,False
100,45,False,,,,,,,,,,,,,,,,,,,False
100,50,False,,,,,,,,,,,,,,,,,,,False
100,55,False,,,,,,,,,,,,,,,,,,,False
100,60,False,,,,,,,,,,,,,,,,,,,False
100,65,False,,,,,,,,,,,,,,,,,,,False
100,70,False,,,,,,,,,,,,,,,,,,,False
100,75,False,,,,,,,,,,,,,,,,,,,False
100,80,False,,,,,,,,,,,,,,,,,,,False
100,85,False,,,,,,,,,,,,,,,,,,,False
100,90,False,,,,,,,,,,,,,,,,,,,False
100,95,False,,,,,,,,,,,,,,,,,,,False
