domain,target_systolic_mmHg,target_diastolic_mmHg,lookup_reachable,resistance_multiplier,compliance_multiplier
prescribed,80,40,False,,
prescribed,80,45,False,,
prescribed,80,50,False,,
prescribed,80,55,False,,
prescribed,80,60,False,,
prescribed,80,65,False,,
prescribed,80,70,False,,
prescribed,80,75,False,,
prescribed,80,80,False,,
prescribed,80,85,False,,
prescribed,80,90,False,,
prescribed,80,95,False,,
prescribed,80,100,False,,
prescribed,80,105,False,,
prescribed,80,110,False,,
prescribed,80,115,False,,
prescribed,80,120,False,,
prescribed,80,125,False,,
prescribed,80,130,False,,
prescribed,80,135,False,,
prescribed,80,140,False,,
prescribed,85,40,False,,
prescribed,85,45,False,,
prescribed,85,50,False,,
prescribed,85,55,False,,
prescribed,85,60,False,,
prescribed,85,65,False,,
prescribed,85,70,False,,
prescribed,85,75,False,,
prescribed,85,80,False,,
prescribed,85,85,False,,
prescribed,85,90,False,,
prescribed,85,95,False,,
prescribed,85,100,False,,
prescribed,85,105,False,,
prescribed,85,110,False,,
prescribed,85,115,False,,
prescribed,85,120,False,,
prescribed,85,125,False,,
prescribed,85,130,False,,
prescribed,85,135,False,,
prescribed,85,140,False,,
prescribed,90,40,False,,
prescribed,90,45,False,,
prescribed,90,50,False,,
prescribed,90,55,False,,
prescribed,90,60,False,,
prescribed,90,65,False,,
prescribed,90,70,False,,
prescribed,90,75,False,,
prescribed,90,80,False,,
prescribed,90,85,False,,
prescribed,90,90,False,,
prescribed,90,95,False,,
prescribed,90,100,False,,
prescribed,90,105,False,,
prescribed,90,110,False,,
prescribed,90,115,False,,
prescribed,90,120,False,,
prescribed,90,125,False,,
prescribed,90,130,False,,
prescribed,90,135,False,,
prescribed,90,140,False,,
prescribed,95,40,False,,
prescribed,95,45,False,,
prescribed,95,50,False,,
prescribed,95,55,False,,
prescribed,95,60,False,,
prescribed,95,65,False,,
prescribed,95,70,False,,
prescribed,95,75,False,,
prescribed,95,80,False,,
prescribed,95,85,False,,
prescribed,95,90,False,,
prescribed,95,95,False,,
prescribed,95,100,False,,
prescribed,95,105,False,,
prescribed,95,110,False,,
prescribed,95,115,False,,
prescribed,95,120,False,,
prescribed,95,125,False,,
prescribed,95,130,False,,
prescribed,95,135,False,,
prescribed,95,140,False,,
prescribed,100,40,False,,
prescribed,100,45,False,,
prescribed,100,50,False,,
prescribed,100,55,False,,
prescribed,100,60,False,,
prescribed,100,65,False,,
prescribed,100,70,False,,
prescribed,100,75,False,,
prescribed,100,80,False,,
prescribed,100,85,False,,
prescribed,100,90,False,,
prescribed,100,95,False,,
prescribed,100,100,False,,
prescribed,100,105,False,,
prescribed,100,110,False,,
prescribed,100,115,False,,
prescribed,100,120,False,,
prescribed,100,125,False,,
prescribed,100,130,False,,
prescribed,100,135,False,,
prescribed,100,140,False,,
prescribed,105,40,False,,
prescribed,105,45,False,,
prescribed,105,50,False,,
prescribed,105,55,False,,
prescribed,105,60,False,,
prescribed,105,65,False,,
prescribed,105,70,False,,
prescribed,105,75,False,,
prescribed,105,80,False,,
prescribed,105,85,False,,
prescribed,105,90,False,,
prescribed,105,95,False,,
prescribed,105,100,False,,
prescribed,105,105,False,,
prescribed,105,110,False,,
prescribed,105,115,False,,
prescribed,105,120,False,,
prescribed,105,125,False,,
prescribed,105,130,False,,
prescribed,105,135,False,,
prescribed,105,140,False,,
prescribed,110,40,False,,
prescribed,110,45,False,,
prescribed,110,50,False,,
prescribed,110,55,False,,
prescribed,110,60,False,,
prescribed,110,65,False,,
prescribed,110,70,False,,
prescribed,110,75,False,,
prescribed,110,80,False,,
prescribed,110,85,False,,
prescribed,110,90,False,,
prescribed,110,95,False,,
prescribed,110,100,False,,
prescribed,110,105,False,,
prescribed,110,110,False,,
prescribed,110,115,False,,
prescribed,110,120,False,,
prescribed,110,125,False,,
prescribed,110,130,False,,
prescribed,110,135,False,,
prescribed,110,140,False,,
prescribed,115,40,False,,
prescribed,115,45,False,,
prescribed,115,50,False,,
prescribed,115,55,False,,
prescribed,115,60,False,,
prescribed,115,65,False,,
prescribed,115,70,False,,
prescribed,115,75,False,,
prescribed,115,80,False,,
prescribed,115,85,False,,
prescribed,115,90,False,,
prescribed,115,95,False,,
prescribed,115,100,False,,
prescribed,115,105,False,,
prescribed,115,110,False,,
prescribed,115,115,False,,
prescribed,115,120,False,,
prescribed,115,125,False,,
prescribed,115,130,False,,
prescribed,115,135,False,,
prescribed,115,140,False,,
prescribed,120,40,False,,
prescribed,120,45,False,,
prescribed,120,50,False,,
prescribed,120,55,False,,
prescribed,120,60,False,,
prescribed,120,65,False,,
prescribed,120,70,True,1.001705586638085,0.7758139495258605
prescribed,120,75,True,1.0820309618318813,0.8621648697822832
prescribed,120,80,True,1.1549124261720758,0.947706954851272
prescribed,120,85,False,,
prescribed,120,90,False,,
prescribed,120,95,False,,
prescribed,120,100,False,,
prescribed,120,105,False,,
prescribed,120,110,False,,
prescribed,120,115,False,,
prescribed,120,120,False,,
prescribed,120,125,False,,
prescribed,120,130,False,,
prescribed,120,135,False,,
prescribed,120,140,False,,
prescribed,125,40,False,,
prescribed,125,45,False,,
prescribed,125,50,False,,
prescribed,125,55,False,,
prescribed,125,60,False,,
prescribed,125,65,True,1.001539471722842,0.6220506170529648
prescribed,125,70,True,1.0700374046981875,0.6720342630515159
prescribed,125,75,True,1.155693309552986,0.7388068458962561
prescribed,125,80,True,1.2320607214479735,0.8034615948507343
prescribed,125,85,True,1.30489410157714,0.8847863709940559
prescribed,125,90,True,1.4115731695771896,0.9960542257926673
prescribed,125,95,False,,
prescribed,125,100,False,,
prescribed,125,105,False,,
prescribed,125,110,False,,
prescribed,125,115,False,,
prescribed,125,120,False,,
prescribed,125,125,False,,
prescribed,125,130,False,,
prescribed,125,135,False,,
prescribed,125,140,False,,
prescribed,130,40,False,,
prescribed,130,45,False,,
prescribed,130,50,False,,
prescribed,130,55,False,,
prescribed,130,60,False,,
prescribed,130,65,True,1.0697181709719985,0.5452456792636011
prescribed,130,70,True,1.1430264061387518,0.5857579542835298
prescribed,130,75,True,1.2352271706813767,0.6380220360031391
prescribed,130,80,True,1.3146486422402837,0.6882152756416342
prescribed,130,85,True,1.3845280588493847,0.7487199597288663
prescribed,130,90,True,1.5006928388470326,0.8309418661654581
prescribed,130,95,True,1.6,0.9402420255940995
prescribed,130,100,False,,
prescribed,130,105,False,,
prescribed,130,110,False,,
prescribed,130,115,False,,
prescribed,130,120,False,,
prescribed,130,125,False,,
prescribed,130,130,False,,
prescribed,130,135,False,,
prescribed,130,140,False,,
prescribed,135,40,False,,
prescribed,135,45,False,,
prescribed,135,50,False,,
prescribed,135,55,False,,
prescribed,135,60,False,,
prescribed,135,65,False,,
prescribed,135,70,True,1.222459150664789,0.5129545031380969
prescribed,135,75,True,1.3209105046714749,0.5544532598594867
prescribed,135,80,True,1.4056958391044398,0.5933388485206056
prescribed,135,85,True,1.4875322362704806,0.6385659949592957
prescribed,135,90,True,1.6,0.7062222401332221
prescribed,135,95,False,,
prescribed,135,100,False,,
prescribed,135,105,False,,
prescribed,135,110,False,,
prescribed,135,115,False,,
prescribed,135,120,False,,
prescribed,135,125,False,,
prescribed,135,130,False,,
prescribed,135,135,False,,
prescribed,135,140,False,,
prescribed,140,40,False,,
prescribed,140,45,False,,
prescribed,140,50,False,,
prescribed,140,55,False,,
prescribed,140,60,False,,
prescribed,140,65,False,,
prescribed,140,70,False,,
prescribed,140,75,False,,
prescribed,140,80,True,1.4868038628134888,0.5159186357874086
prescribed,140,85,True,1.5902545101622105,0.548401080453838
prescribed,140,90,False,,
prescribed,140,95,False,,
prescribed,140,100,False,,
prescribed,140,105,False,,
prescribed,140,110,False,,
prescribed,140,115,False,,
prescribed,140,120,False,,
prescribed,140,125,False,,
prescribed,140,130,False,,
prescribed,140,135,False,,
prescribed,140,140,False,,
prescribed,145,40,False,,
prescribed,145,45,False,,
prescribed,145,50,False,,
prescribed,145,55,False,,
