phase,time_s,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,stroke_volume_mL,systemic_vascular_resistance_mmHg_s_mL,blood_volume_mL,baroreceptor_heart_rate_scale,baroreceptor_heart_elastance_scale,baroreceptor_resistance_scale,baroreceptor_compliance_scale,pulse_pressure_mmHg
pre,1.0000000000000004,114.25782770463887,73.58647688814692,95.32541272720198,72.00228353784668,5.7859659750719254,80.35808992128199,0.9397157370998477,5488.978045603894,0.9999848146808075,0.9999992330646874,0.9999938338747795,1.0000015492414573,40.67135081649195
pre,2.0000000000000013,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.3672187544243,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.67627994921327
pre,3.000000000000002,114.26616540926074,73.59193963826154,95.33176671915326,72.00796889624343,5.786972176088615,80.36571875019953,0.9396177350672311,5489.059928399672,0.9998112479187855,0.999990467066606,0.9999225035952457,1.000019689440153,40.6742257709992
pre,4.000000000000003,114.24801363235973,73.5883531831918,95.31821284737423,72.00923189896767,5.785234494179464,80.34017780242982,0.9397588299172152,5489.099583849298,0.9997625764528537,0.9999880089117611,0.9999013595725711,1.0000253609496526,40.65966044916793
pre,4.999999999999981,114.25204457629255,73.58067353760902,95.31975562690194,72.01058805613023,5.786717804707774,80.3592632821883,0.9395338261424946,5489.1376434581525,0.9998294721349604,0.9999913874815645,0.9999271398930978,1.000019255377854,40.67137103868353
pre,5.99999999999996,114.25397443806868,73.58295974090079,95.3217052075634,72.0120118955448,5.78676848079334,80.35837811596195,0.9395460251338594,5489.176592315511,0.9998684373873648,0.999993355423605,0.9999420313820293,1.000015781074543,40.67101469716789
pre,6.999999999999939,114.26164282053239,73.58545187024262,95.32762105298545,72.01348910630607,5.787546938809076,80.36753961838342,0.9394811218291695,5489.21675616982,0.9998420991000321,0.999992025207073,0.999930635827667,1.000018859701148,40.676190950289765
pre,7.999999999999917,114.26490357661811,73.59056498131513,95.33057137818562,72.01595100767463,5.787631884554686,80.36597175447848,0.939496872009482,5489.257981873188,0.999769939983668,0.9999883808072564,0.9999003898433353,1.0000267419075979,40.674338595302984
pre,8.999999999999897,114.24884927096531,73.58785452210823,95.31868425811125,72.01679327169883,5.786014559668508,80.3425742359775,0.9396355919585323,5489.2984320989635,0.9997265946803402,0.9999861916505228,0.9998813430618178,1.0000319451000172,40.66099474885708
pre,9.999999999999876,114.25202918140518,73.58104254030368,95.31978453020568,72.01773713488146,5.7872568926900945,80.35877164331318,0.9394451148557579,5489.33657542934,0.9997923436148575,0.9999895123037813,0.99990659273546,1.0000260310921878,40.67098664110149
pre,10.999999999999854,114.25404739155869,73.58296596052497,95.32172226834021,72.01877140416647,5.7873311896474675,80.35864923561658,0.9394532892781103,5489.375198303158,0.9998337932053205,0.9999916057174407,0.9999224323504822,1.0000223755751232,40.67108143103371
pre,11.999999999999833,114.26199898398654,73.5855154809171,95.32784250932076,72.0198805727653,5.788110759656477,80.36823601517165,0.9393902547659742,5489.415067511356,0.9998100309691391,0.999990405604502,0.9999120463705236,1.000025251195805,40.67648350306945
pre,12.999999999999812,114.26575668021555,73.59091549551731,95.33116806078668,72.02163120243962,5.7881747314669765,80.36717073510147,0.9394131484112717,5489.456037751605,0.9997358291074645,0.9999866580357305,0.9998809444676403,1.0000333961388141,40.67484118469824
pre,13.99999999999979,114.25085977423177,73.58843638689186,95.32010858943092,72.02212032990913,5.786655471840226,80.34553058606858,0.9395444517303072,5489.497107121802,0.9996791725130546,0.9999837965915682,0.9998564521831291,1.0000400183036273,40.66242338733991
pre,14.999999999999769,114.25310111131314,73.58191865462659,95.32056436329297,72.02268944654047,5.787724929219888,80.35974459848353,0.9393753411621019,5489.535533083178,0.9997331598661255,0.9999865232255616,0.9998767782240899,1.0000354191746574,40.67118245668655
pre,15.999999999999748,114.25492353996425,73.58330881912242,95.32223765329208,72.02334992104963,5.787813963283674,80.36024386019457,0.9393783227552115,5489.573867542681,0.9997705824483741,0.9999884132549681,0.9998907763725473,1.0000323196767222,40.67161472084183
pre,16.999999999999726,114.26289355715502,73.5856986717595,95.3283239406916,72.02409404492886,5.78859000195566,80.37018831982418,0.9393154415149119,5489.613435004765,0.9997468617027665,0.9999872152375137,0.9998801924613809,1.000035341607905,40.67719488539552
