configured_index,label,start_node,end_node,length_m,root_to_proximal_m,root_to_distal_m,proximal_radius_m,distal_radius_m,youngs_modulus_pa,outlet,terminal_by_topology,R1_pa_s_m3,R2_pa_s_m3,C_m3_pa
1,aortic_arch_I,1,2,0.0744137655,0.0,0.0744137655,0.01595,0.0129524399,225000.0,,False,,,
2,brachiocephalic_trunk,2,3,0.0473512778,0.0744137655,0.12176504330000001,0.00672809,0.00615874,225000.0,,False,,,
3,aortic_arch_II,2,4,0.0096038364,0.0744137655,0.0840176019,0.0129524399,0.0125655749,225000.0,,False,,,
4,subclavian_R_I,3,5,0.015740629,0.12176504330000001,0.13750567230000002,0.00489563,0.0041773477,225000.0,,False,,,
5,common_carotid_R,3,6,0.0812193581,0.12176504330000001,0.20298440140000001,0.00447559,0.00332624,225000.0,,False,,,
6,vertebral_R,5,7,0.2044531883,0.13750567230000002,0.3419588606,0.00133527,0.00133527,225000.0,wk3,True,1810426462.5,7241705849.9,3.128659004e-11
7,subclavian_R_II,5,8,0.0411187821,0.13750567230000002,0.17862445440000002,0.0041773477,0.002301,225000.0,,False,,,
8,axillary_R,8,9,0.1200020481,0.17862445440000002,0.2986265025,0.002301,0.002077,225000.0,,False,,,
9,brachial_R,9,10,0.2231082046,0.2986265025,0.5217347071,0.002077,0.00182827,225000.0,,False,,,
10,radial_R,10,11,0.3008857661,0.5217347071,0.8226204732,0.001378,0.001378,225000.0,wk3,True,1153880920.0,4615523680.2,4.90883154e-11
11,ulnar_R_I,10,12,0.0297562408,0.5217347071,0.5514909479000001,0.001408,0.001408,225000.0,,False,,,
12,common_interosseous_R,12,13,0.0162660658,0.5514909479000001,0.5677570137000001,0.000959,0.000959,225000.0,,False,,,
13,ulnar_R_II,12,14,0.2392616296,0.5514909479000001,0.7907525775,0.001408,0.001408,225000.0,wk3,True,1174863776.7,4699455106.8,4.821160687e-11
14,posterior_interosseous_R,13,15,0.2305613685,0.5677570137000001,0.7983183822000001,0.000676,0.000676,225000.0,wk3,True,4781305280.3,19125221121.3,1.184657059e-11
15,external_carotid_R,6,16,0.0608968774,0.20298440140000001,0.2638812788,0.00226547,0.00226547,225000.0,wk3,True,939080951.9,3756323807.7,6.031649393e-11
16,internal_carotid_R,6,17,0.1321099628,0.20298440140000001,0.33509436420000005,0.00276538,0.00276538,225000.0,wk3,True,576015963.3,2304063853.4,9.833420276e-11
17,common_carotid_L,4,18,0.1213190392,0.0840176019,0.2053366411,0.00447559,0.00332624,225000.0,,False,,,
18,aortic_arch_III,4,19,0.0069785313,0.0840176019,0.0909961332,0.0125655749,0.0122844634,225000.0,,False,,,
19,external_carotid_L,18,20,0.0608970599,0.2053366411,0.266233701,0.00226547,0.00226547,225000.0,wk3,True,942390426.5,3769561706.0,6.010467524e-11
20,internal_carotid_L,18,21,0.1321103835,0.2053366411,0.3374470246,0.00276538,0.00276538,225000.0,wk3,True,577939870.8,2311759483.1,9.800685746e-11
21,subclavian_L_I,19,22,0.0493841253,0.0909961332,0.1403802585,0.00489563,0.0034798354,225000.0,,False,,,
22,aortic_arch_IV,19,23,0.0430576701,0.0909961332,0.1340538033,0.0122844634,0.01055,225000.0,,False,,,
23,vertebral_L,22,24,0.2041538087,0.1403802585,0.3445340672,0.00133527,0.00133527,225000.0,wk3,True,1924300300.4,7697201201.8,2.943515132e-11
24,subclavian_L_II,22,25,0.0411187859,0.1403802585,0.1814990444,0.0034798354,0.002301,225000.0,,False,,,
25,axillary_L,25,26,0.120002137,0.1814990444,0.3015011814,0.002301,0.002077,225000.0,,False,,,
26,brachial_L,26,27,0.2231087827,0.3015011814,0.5246099640999999,0.002077,0.00182827,225000.0,,False,,,
27,radial_L,27,28,0.3108844061,0.5246099640999999,0.8354943702,0.001378,0.001378,225000.0,wk3,True,1133218047.3,4532872189.2,4.998338199e-11
28,ulnar_L_I,27,29,0.0297557899,0.5246099640999999,0.554365754,0.001408,0.001408,225000.0,,False,,,
29,common_interosseous_L,29,30,0.0162660627,0.554365754,0.5706318167,0.000959,0.000959,225000.0,,False,,,
30,ulnar_L_II,29,31,0.2392621589,0.554365754,0.7936279129,0.001408,0.001408,225000.0,wk3,True,1197626267.1,4790505068.3,4.729528075e-11
31,posterior_interosseous_L,30,32,0.2305624697,0.5706318167,0.8011942863999999,0.000676,0.000676,225000.0,wk3,True,4798622229.2,19194488916.9,1.180381948e-11
32,thoracic_aorta_I,23,33,0.0098970813,0.1340538033,0.1439508846,0.01055,0.010363805,225000.0,,False,,,
33,posterior_intercostal_T6_R,33,34,0.1968810988,0.1439508846,0.3408319834,0.0014,0.0014,225000.0,wk3,True,24912692207.8,99650768831.3,2.27362302e-12
34,thoracic_aorta_II,33,35,0.0078803844,0.1439508846,0.151831269,0.010363805,0.0102155504,225000.0,,False,,,
35,posterior_intercostal_T6_L,35,36,0.17803022,0.151831269,0.329861489,0.0014,0.0014,225000.0,wk3,True,25558317606.7,102233270427.0,2.21618932e-12
36,thoracic_aorta_III,35,37,0.0155559176,0.151831269,0.1673871866,0.0102155504,0.0099228951,225000.0,,False,,,
37,posterior_intercostal_T7_R,37,38,0.2015603447,0.1673871866,0.3689475313,0.00155,0.00155,225000.0,wk3,True,23243370855.3,92973483421.3,2.43691291e-12
38,thoracic_aorta_IV,37,39,0.0053270486,0.1673871866,0.17271423519999998,0.0099228951,0.0098226767,225000.0,,False,,,
39,posterior_intercostal_T7_L,39,40,0.1851762417,0.17271423519999998,0.3578904769,0.00155,0.00155,225000.0,wk3,True,23442544272.4,93770177089.7,2.41620832e-12
40,thoracic_aorta_V,39,41,0.1215607465,0.17271423519999998,0.2942749817,0.0098226767,0.00753574,225000.0,,False,,,
41,thoracic_aorta_VI,41,42,0.0032476667,0.2942749817,0.2975226484,0.00753574,0.0074949241,225000.0,,False,,,
42,celiac_trunk,42,43,0.0168238334,0.2975226484,0.31434648179999997,0.00334998,0.00321246,225000.0,,False,,,
43,abdominal_aorta_I,42,44,0.0139884345,0.2975226484,0.31151108289999996,0.0074949241,0.007319121,225000.0,,False,,,
44,common_hepatic,43,45,0.0665545523,0.31434648179999997,0.3809010341,0.00268614,0.00268614,225000.0,wk3,True,334855096.2,1339420384.8,1.6915397489e-10
45,splenic_I,43,46,0.003948745,0.31434648179999997,0.31829522679999994,0.00216682,0.00216682,225000.0,,False,,,
46,left_gastric,46,47,0.0928669141,0.31829522679999994,0.4111621408999999,0.00150666,0.00150666,225000.0,wk3,True,34339350287.2,137357401149.0,1.64947997e-12
47,splenic_II,46,48,0.0644027418,0.31829522679999994,0.38269796859999994,0.00216682,0.00216682,225000.0,wk3,True,473332350.9,1893329403.6,1.1966659457e-10
48,superior_mesenteric,44,49,0.2163983238,0.31151108289999996,0.5279094067,0.00392612,0.00392612,225000.0,wk3,True,218192533.0,872770131.9,2.5959674129e-10
49,abdominal_aorta_II,44,50,0.0043191256,0.31151108289999996,0.31583020849999993,0.007319121,0.0072648393,225000.0,,False,,,
50,renal_L,50,51,0.021836535,0.31583020849999993,0.3376667434999999,0.0027089,0.0027089,225000.0,wk3,True,226281607.5,905126430.2,2.5031672325e-10
51,abdominal_aorta_III,50,52,0.0119772827,0.31583020849999993,0.3278074911999999,0.0072648393,0.0071143118,225000.0,,False,,,
52,renal_R,52,53,0.0377174249,0.3278074911999999,0.36552491609999993,0.00309737,0.00309737,225000.0,wk3,True,227041378.8,908165515.3,2.4947906336e-10
53,abdominal_aorta_IV,52,54,0.0540893766,0.3278074911999999,0.38189686779999993,0.0071143118,0.00643453,225000.0,,False,,,
54,inferior_mesenteric,54,55,0.0902385435,0.38189686779999993,0.4721354112999999,0.00207748,0.00207748,225000.0,wk3,True,2391290071.9,9565160287.5,2.368682545e-11
55,abdominal_aorta_V,54,56,0.042224742,0.38189686779999993,0.4241216097999999,0.00643453,0.00590386,225000.0,,False,,,
56,common_iliac_R,56,57,0.076428564,0.4241216097999999,0.5005501737999999,0.00449868,0.00409113,225000.0,,False,,,
57,common_iliac_L,56,58,0.0740380184,0.4241216097999999,0.4981596281999999,0.00449868,0.00409113,225000.0,,False,,,
58,external_iliac_R,57,59,0.102210634,0.5005501737999999,0.6027608077999999,0.00337758,0.003189,225000.0,,False,,,
