configured_index,label,start_node,end_node,length_m,root_to_proximal_m,root_to_distal_m,proximal_radius_m,distal_radius_m,youngs_modulus_pa,outlet,terminal_by_topology,R1_pa_s_m3,R2_pa_s_m3,C_m3_pa
1,1-Ascendingaorta,1,2,0.04,0.0,0.04,0.012,0.012,400000.0,,False,,,
2,2-AorticarchI,2,3,0.02,0.04,0.06,0.0112,0.0112,400000.0,,False,,,
3,3-Brachiocephalic,2,4,0.034,0.04,0.07400000000000001,0.0062,0.0062,400000.0,,False,,,
4,4-AorticarchII,3,5,0.039,0.06,0.099,0.0107,0.0107,400000.0,,False,,,
5,5-L-commoncarotid,3,6,0.208,0.06,0.268,0.0025,0.0025,400000.0,,False,,,
6,6-R-commoncarotid,4,7,0.177,0.07400000000000001,0.251,0.0025,0.0025,400000.0,,False,,,
7,7-R-subclavian,4,8,0.034,0.07400000000000001,0.10800000000000001,0.00423,0.00423,400000.0,,False,,,
8,8-Thoracicaorta,5,9,0.156,0.099,0.255,0.00999,0.00999,400000.0,wk3,True,180000000.0,,3.87e-09
9,9-L-subclavian,5,10,0.034,0.099,0.133,0.00423,0.00423,400000.0,,False,,,
10,10-L-ext-carotid,6,11,0.177,0.268,0.445,0.0015,0.0015,800000.0,wk3,True,5430000000.0,,1.27e-10
11,11-L-int-carotidI,6,12,0.177,0.268,0.445,0.002,0.002,800000.0,,False,,,
12,12-R-int-carotidI,7,13,0.177,0.251,0.428,0.002,0.002,800000.0,,False,,,
13,13-R-ext-carotid,7,14,0.177,0.251,0.428,0.0015,0.0015,800000.0,wk3,True,5430000000.0,,1.27e-10
14,14-R-vertebral,8,15,0.148,0.10800000000000001,0.256,0.00136,0.00136,800000.0,,False,,,
15,15-R-brachial,8,16,0.422,0.10800000000000001,0.53,0.00403,0.00403,400000.0,wk3,True,2680000000.0,,2.58e-10
16,16-L-brachial,10,17,0.422,0.133,0.5549999999999999,0.00403,0.00403,400000.0,wk3,True,2680000000.0,,2.58e-10
17,17-L-vertebral,10,15,0.148,0.133,0.281,0.00136,0.00136,800000.0,,False,,,
18,18-L-int-carotidII,12,18,0.005,0.30500000000000005,0.31000000000000005,0.002,0.002,1600000.0,,False,,,
19,19-L-PCoA,19,12,0.015,0.29000000000000004,0.30500000000000005,0.00073,0.00073,1600000.0,,False,,,
20,20-R-PCoA,20,13,0.015,0.29000000000000004,0.30500000000000005,0.00073,0.00073,1600000.0,,False,,,
21,21-R-int-carotidII,13,21,0.005,0.30500000000000005,0.31000000000000005,0.002,0.002,1600000.0,,False,,,
22,22-Basilar,15,22,0.029,0.256,0.28500000000000003,0.00162,0.00162,1600000.0,,False,,,
23,23-L-MCA,18,23,0.119,0.31000000000000005,0.42900000000000005,0.00143,0.00143,1600000.0,wk3,True,5970000000.0,,1.16e-10
24,24-R-MCA,21,24,0.119,0.31000000000000005,0.42900000000000005,0.00143,0.00143,1600000.0,wk3,True,5970000000.0,,1.16e-10
25,25-L-ACAA1,18,25,0.012,0.31000000000000005,0.32200000000000006,0.00117,0.00117,1600000.0,,False,,,
26,26-R-ACAA1,21,26,0.012,0.31000000000000005,0.32200000000000006,0.00117,0.00117,1600000.0,,False,,,
27,27-L-PCAP1,22,19,0.005,0.28500000000000003,0.29000000000000004,0.00107,0.00107,1600000.0,,False,,,
28,28-R-PCA-P1,22,20,0.005,0.28500000000000003,0.29000000000000004,0.00107,0.00107,1600000.0,,False,,,
29,29-L-ACA-A2,25,27,0.103,0.32200000000000006,0.42500000000000004,0.0012,0.0012,1600000.0,wk3,True,8480000000.0,,8.2e-11
30,30-R-ACA-A2,26,28,0.103,0.32200000000000006,0.42500000000000004,0.0012,0.0012,1600000.0,wk3,True,8480000000.0,,8.2e-11
31,31-ACoA,25,26,0.003,0.32200000000000006,0.32500000000000007,0.00074,0.00074,1600000.0,,False,,,
32,32-L-PCA-P2,19,29,0.086,0.29000000000000004,0.376,0.00105,0.00105,1600000.0,wk3,True,11080000000.0,,6.2e-11
33,33-R-PCA-P2,20,30,0.086,0.29000000000000004,0.376,0.00105,0.00105,1600000.0,wk3,True,11080000000.0,,6.2e-11
