case,vessel,systolic_mmHg,diastolic_mmHg,mean_mmHg,pulse_pressure_mmHg,mean_flow_mL_min,openbf_converged,openbf_cycles,openbf_solver_elapsed_s,end_to_end_wall_s,waveform_rmse_vs_baseline_mmHg,delta_systolic_mmHg,delta_diastolic_mmHg,delta_mean_mmHg,delta_pulse_pressure_mmHg,delta_mean_flow_mL_min,inlet_flow_scale,cardiac_period_scale,wall_youngs_modulus_scale
sensitivity_flow_low,external_carotid_R,99.25067717050398,71.77200254228444,86.57676044578957,27.478674628219537,140.2680148907195,True,4,18.247469143,53.48404002189636,4.568143889331018,-4.970709271746372,-3.9470079225510517,-4.559009587452522,-1.0237013491953206,-7.383894765657232,0.95,1.0,1.0
sensitivity_flow_low,internal_carotid_R,109.0903569647306,71.00648378224966,86.40390691538694,38.08387318248094,228.26713080353392,True,4,18.247469143,53.48404002189636,4.574066615212864,-5.127511843989865,-3.918155660294559,-4.559726466547744,-1.2093561836953057,-12.027681630463348,0.95,1.0,1.0
sensitivity_flow_high,external_carotid_R,109.3503214084492,79.90329258324796,95.88201791682734,29.447028825201244,155.30240459643457,True,6,30.190469733,65.92448902130127,4.7548895844086765,5.128934966198855,4.184282118412469,4.746247883585241,0.9446528477863865,7.6504949400578255,1.05,1.0,1.0
sensitivity_flow_high,internal_carotid_R,119.43977574138935,79.08467683705065,95.71070458964564,40.3550989043387,252.75579032155972,True,6,30.190469733,65.92448902130127,4.760247646664474,5.221906932668887,4.160037394506432,4.74707120771096,1.0618695381624548,12.46097788756245,1.05,1.0,1.0
sensitivity_period_low,external_carotid_R,105.13559147597176,77.19480220249085,91.52820146649121,27.940789273480917,148.22256030021637,True,6,27.444172377,64.97548699378967,0.9454494102007477,0.9142050337214158,1.4757917376553564,0.392431433249115,-0.5615867039339406,0.5706506438396275,1.0,0.95,1.0
sensitivity_period_low,internal_carotid_R,116.09641529873457,76.46220869688736,91.35833414108691,39.63420660184721,241.2372458233806,True,6,27.444172377,64.97548699378967,1.3392023688411232,1.8785464900141022,1.5375692543431398,0.39470075915222935,0.3409772356709624,0.942433389383325,1.0,0.95,1.0
sensitivity_period_high,external_carotid_R,104.21470535625538,75.01447332722687,91.39057647872794,29.200232029028513,148.01817160204052,True,5,27.900369219,66.93543100357056,0.845440078272787,-0.006681085994969749,-0.7045371376086251,0.2548064454858405,0.6978560516136554,0.3662619456637799,1.0,1.05,1.0
sensitivity_period_high,internal_carotid_R,113.20469724047524,74.29425040299756,91.21452396116005,38.91044683747768,240.8866093063194,True,5,27.900369219,66.93543100357056,1.2356878283194825,-1.0131715682452267,-0.6303890395466567,0.25089057922536995,-0.38278252869857,0.591796872322135,1.0,1.05,1.0
sensitivity_wall_stiffness_2x,external_carotid_R,110.24134723457261,66.9575960351428,92.61138457694783,43.283751199429815,149.91848633083146,True,4,27.50505837,63.753538846969604,7.607945319577915,6.019960792322266,-8.761414429692692,1.4756145437057313,14.781375222014958,2.2665766744547113,1.0,1.0,2.0
sensitivity_wall_stiffness_2x,internal_carotid_R,111.2119847758289,66.38066458158141,92.3976125631697,44.83132019424748,243.8520256849423,True,4,27.50505837,63.753538846969604,8.397499216919277,-3.005884032891572,-8.543974860962805,1.433979181235017,5.538090828071233,3.55721325094504,1.0,1.0,2.0
