status,body_id,sex,age_years,height_cm,weight_kg,bmi_kg_m2,phenotype,resistance_multiplier,compliance_multiplier,simulated_through_s,time_to_map_below_65_s,time_to_hypovolemic_shock_s,time_to_irreversible_state_s,minimum_cardiac_output_L_min,minimum_map_mmHg,maximum_heart_rate_per_min,minimum_co_through_map65_L_min
ok,female_high_bmi,Female,51,157.5,74.4,29.99244142101285,combined,2.0,0.4,899.9999999991816,495.999999999549,585.9600000004319,,0.730718772326162,41.4505299919167,142.39341756216143,1.3415411380136075
ok,female_low_bmi,Female,52,155.5,39.6,16.377001892039996,combined,2.0,0.4,459.99999999958175,334.9999999996953,324.4600000002557,460.0800000002556,0.0,9.338893664071094,150.23364942569944,1.4075085980434414
ok,male_high_bmi,Male,64,163.5,80.1,29.963807760289537,combined,2.0,0.4,899.9999999991816,524.9999999995226,623.1200000004884,,0.7938839853862576,41.213036024155095,148.42440454736047,1.464171079890361
ok,male_low_bmi,Male,41,186.6,56.6,16.255231255076172,combined,2.0,0.4,575.9999999994762,408.9999999996281,447.740000000532,576.7800000005319,0.0,10.590704604158704,145.53837601845893,1.5305902791458137
ok,female_high_bmi,Female,51,157.5,74.4,29.99244142101285,compliance_dominant,1.0,0.4,899.9999999991815,525.9999999995216,610.1600000007174,,1.6691122819640305,41.919438239757255,158.58599968716257,2.939709816336836
ok,female_low_bmi,Female,52,155.5,39.6,16.377001892039996,compliance_dominant,1.0,0.4,461.9999999995799,327.9999999997017,334.2000000002661,462.5400000002661,0.0,8.26448700602922,164.62851541028232,2.761648499298857
ok,male_high_bmi,Male,64,163.5,80.1,29.963807760289537,compliance_dominant,1.0,0.4,899.9999999991816,560.9999999994899,646.9600000004144,,1.8074061377774104,41.71440514678462,159.4646027880992,3.2252997427426773
ok,male_low_bmi,Male,41,186.6,56.6,16.255231255076172,compliance_dominant,1.0,0.4,589.9999999994635,440.999999999599,461.28000000025565,590.3600000002558,0.0,9.1010645370196,161.92167924389548,3.150525753225658
ok,female_high_bmi,Female,51,157.5,74.4,29.99244142101285,normotensive,1.0,1.0,899.9999999994715,516.9999999998198,596.24,,1.6513185597004136,41.84074220815098,156.40194053075507,2.952382948728582
ok,female_low_bmi,Female,52,155.5,39.6,16.377001892039996,normotensive,1.0,1.0,448.9999999998816,316.00000000000256,326.68,449.2,0.0,8.815699176928671,161.59691553432287,2.765843177319964
ok,male_high_bmi,Male,64,163.5,80.1,29.963807760289537,normotensive,1.0,1.0,899.9999999994715,552.9999999997871,638.64,,1.8198907427465565,41.61971280636584,157.0578223145953,3.2218876465237547
ok,male_low_bmi,Male,41,186.6,56.6,16.255231255076172,normotensive,1.0,1.0,571.9999999997698,417.9999999999098,455.16,572.5,0.0,9.907810009080665,156.5786507361934,3.162025449219543
ok,female_high_bmi,Female,51,157.5,74.4,29.99244142101285,resistance_dominant,2.0,1.0,537.9999999995108,488.99999999955537,,538.5800000005862,0.0,15.814024753489166,125.3702391539372,1.3113141446210246
ok,female_low_bmi,Female,52,155.5,39.6,16.377001892039996,resistance_dominant,2.0,1.0,458.99999999958266,327.9999999997018,326.58000000036907,459.9600000003692,0.0,11.310991476015989,144.7259614378397,1.387994873466477
ok,male_high_bmi,Male,64,163.5,80.1,29.963807760289537,resistance_dominant,2.0,1.0,899.9999999991816,517.999999999529,625.36000000039,,0.7179743550642352,41.5503313479149,149.1322810284978,1.4402949144285109
ok,male_low_bmi,Male,41,186.6,56.6,16.255231255076172,resistance_dominant,2.0,1.0,584.9999999994681,403.9999999996327,449.400000000437,585.900000000437,0.0,11.888532241361698,146.422203905606,1.5124566798062276
