case,vessel,metric,metric_class,effect_vs_normotensive,noise_floor,attribution_ratio,passes_1p25x_floor
normotensive_arm1_inlet_only,aortic_arch_I,systolic_mmHg,amplitude,0.0,5.17739768431899,0.0,False
normotensive_arm1_inlet_only,aortic_arch_I,diastolic_mmHg,amplitude,0.0,4.230042473199788,0.0,False
normotensive_arm1_inlet_only,aortic_arch_I,mean_mmHg,amplitude,0.0,4.744868925191952,0.0,False
normotensive_arm1_inlet_only,aortic_arch_I,pulse_pressure_mmHg,amplitude,0.0,1.8487021370518306,0.0,False
normotensive_arm1_inlet_only,aortic_arch_I,time_to_peak_phase,shape,0.0,0.10999999999999999,0.0,False
normotensive_arm1_inlet_only,aortic_arch_I,reflected_wave_phase,shape,0.0,0.272,0.0,False
normotensive_arm1_inlet_only,aortic_arch_I,augmentation_pressure_mmHg,amplitude,0.0,0.3457850702287715,0.0,False
normotensive_arm1_inlet_only,aortic_arch_I,augmentation_index_pct,shape,0.0,2.023425080535291,0.0,False
normotensive_arm1_inlet_only,aortic_arch_I,phase_aligned_normalised_shape_rmse,shape,0.0,0.026479083186176207,0.0,False
normotensive_arm1_inlet_only,external_carotid_R,systolic_mmHg,amplitude,0.0,5.120386039422314,0.0,False
normotensive_arm1_inlet_only,external_carotid_R,diastolic_mmHg,amplitude,0.0,4.189590828168193,0.0,False
normotensive_arm1_inlet_only,external_carotid_R,mean_mmHg,amplitude,0.0,4.746275062321828,0.0,False
normotensive_arm1_inlet_only,external_carotid_R,pulse_pressure_mmHg,amplitude,0.0,1.0128989650885813,0.0,False
normotensive_arm1_inlet_only,external_carotid_R,time_to_peak_phase,shape,0.0,0.010000000000000009,0.0,False
normotensive_arm1_inlet_only,external_carotid_R,reflected_wave_phase,shape,0.0,0.018000000000000016,0.0,False
normotensive_arm1_inlet_only,external_carotid_R,augmentation_pressure_mmHg,amplitude,0.0,0.3927117276224408,0.0,False
normotensive_arm1_inlet_only,external_carotid_R,augmentation_index_pct,shape,0.0,0.8350050446611537,0.0,False
normotensive_arm1_inlet_only,external_carotid_R,phase_aligned_normalised_shape_rmse,shape,0.0,0.03817733446863761,0.0,False
normotensive_arm1_inlet_only,internal_carotid_R,systolic_mmHg,amplitude,0.0,5.257513691409031,0.0,False
normotensive_arm1_inlet_only,internal_carotid_R,diastolic_mmHg,amplitude,0.0,4.159181996588586,0.0,False
normotensive_arm1_inlet_only,internal_carotid_R,mean_mmHg,amplitude,0.0,4.74706627215852,0.0,False
normotensive_arm1_inlet_only,internal_carotid_R,pulse_pressure_mmHg,amplitude,0.0,1.244158569885144,0.0,False
normotensive_arm1_inlet_only,internal_carotid_R,time_to_peak_phase,shape,0.0,0.008000000000000007,0.0,False
normotensive_arm1_inlet_only,internal_carotid_R,reflected_wave_phase,shape,0.0,0.018000000000000016,0.0,False
normotensive_arm1_inlet_only,internal_carotid_R,augmentation_pressure_mmHg,amplitude,0.0,0.6132047230771605,0.0,False
normotensive_arm1_inlet_only,internal_carotid_R,augmentation_index_pct,shape,0.0,0.93417537965626,0.0,False
normotensive_arm1_inlet_only,internal_carotid_R,phase_aligned_normalised_shape_rmse,shape,0.0,0.04112379710612243,0.0,False
normotensive_arm2_matched_stiffening,aortic_arch_I,systolic_mmHg,amplitude,0.0,5.17739768431899,0.0,False
normotensive_arm2_matched_stiffening,aortic_arch_I,diastolic_mmHg,amplitude,0.0,4.230042473199788,0.0,False
normotensive_arm2_matched_stiffening,aortic_arch_I,mean_mmHg,amplitude,0.0,4.744868925191952,0.0,False
normotensive_arm2_matched_stiffening,aortic_arch_I,pulse_pressure_mmHg,amplitude,0.0,1.8487021370518306,0.0,False
normotensive_arm2_matched_stiffening,aortic_arch_I,time_to_peak_phase,shape,0.0,0.10999999999999999,0.0,False
normotensive_arm2_matched_stiffening,aortic_arch_I,reflected_wave_phase,shape,0.0,0.272,0.0,False
normotensive_arm2_matched_stiffening,aortic_arch_I,augmentation_pressure_mmHg,amplitude,0.0,0.3457850702287715,0.0,False
normotensive_arm2_matched_stiffening,aortic_arch_I,augmentation_index_pct,shape,0.0,2.023425080535291,0.0,False
normotensive_arm2_matched_stiffening,aortic_arch_I,phase_aligned_normalised_shape_rmse,shape,0.0,0.026479083186176207,0.0,False
normotensive_arm2_matched_stiffening,external_carotid_R,systolic_mmHg,amplitude,0.0,5.120386039422314,0.0,False
normotensive_arm2_matched_stiffening,external_carotid_R,diastolic_mmHg,amplitude,0.0,4.189590828168193,0.0,False
normotensive_arm2_matched_stiffening,external_carotid_R,mean_mmHg,amplitude,0.0,4.746275062321828,0.0,False
normotensive_arm2_matched_stiffening,external_carotid_R,pulse_pressure_mmHg,amplitude,0.0,1.0128989650885813,0.0,False
normotensive_arm2_matched_stiffening,external_carotid_R,time_to_peak_phase,shape,0.0,0.010000000000000009,0.0,False
normotensive_arm2_matched_stiffening,external_carotid_R,reflected_wave_phase,shape,0.0,0.018000000000000016,0.0,False
normotensive_arm2_matched_stiffening,external_carotid_R,augmentation_pressure_mmHg,amplitude,0.0,0.3927117276224408,0.0,False
normotensive_arm2_matched_stiffening,external_carotid_R,augmentation_index_pct,shape,0.0,0.8350050446611537,0.0,False
