phenotype,vessel,metric,arm1,arm2,delta,expected_direction,direction_agrees,assessable
compliance_dominant,aortic_arch_I,pulse_pressure_mmHg,20.9500657513518,45.54546659002982,24.595400838678017,increase,True,True
compliance_dominant,aortic_arch_I,reflected_wave_phase,,,,decrease,False,False
compliance_dominant,aortic_arch_I,augmentation_index_pct,,,,increase,False,False
compliance_dominant,external_carotid_R,pulse_pressure_mmHg,25.099120709614454,48.46942050252088,23.37029979290643,increase,True,True
compliance_dominant,external_carotid_R,reflected_wave_phase,0.374,,,decrease,False,False
compliance_dominant,external_carotid_R,augmentation_index_pct,22.837202412046185,,,increase,False,False
compliance_dominant,internal_carotid_R,pulse_pressure_mmHg,34.65228415246939,49.27777424785881,14.625490095389416,increase,True,True
compliance_dominant,internal_carotid_R,reflected_wave_phase,0.322,0.524,0.202,decrease,False,True
compliance_dominant,internal_carotid_R,augmentation_index_pct,24.29636539180774,3.297312281334296,-20.999053110473444,increase,False,True
combined,aortic_arch_I,pulse_pressure_mmHg,13.455006898732124,31.603677975193943,18.148671076461817,increase,True,True
combined,aortic_arch_I,reflected_wave_phase,0.596,,,decrease,False,False
combined,aortic_arch_I,augmentation_index_pct,4.738171217936941,,,increase,False,False
combined,external_carotid_R,pulse_pressure_mmHg,16.94830288699775,34.97739829842479,18.029095411427036,increase,True,True
combined,external_carotid_R,reflected_wave_phase,0.536,0.446,-0.09000000000000002,decrease,True,True
combined,external_carotid_R,augmentation_index_pct,5.609048749488028,3.858846059110178,-1.7502026903778498,increase,False,True
combined,internal_carotid_R,pulse_pressure_mmHg,24.60907733317778,35.838660437153635,11.229583103975855,increase,True,True
combined,internal_carotid_R,reflected_wave_phase,0.284,0.464,0.18000000000000005,decrease,False,True
combined,internal_carotid_R,augmentation_index_pct,39.79541028416775,9.0184647450774,-30.77694553909035,increase,False,True
