youngs_modulus_scale,vessel,phase_aligned_normalised_shape_rmse,optimal_phase_shift,shape_noise_floor,attribution_ratio,passes_1p25x_floor
1.1,external_carotid_R,0.025783078742292086,0.002,0.03817733446863761,0.6753504167105404,False
1.1,internal_carotid_R,0.03554810259331686,0.004,0.04112379710612243,0.8644168363534828,False
1.25,external_carotid_R,0.049903846608808575,0.006,0.03817733446863761,1.30715900686582,True
1.25,internal_carotid_R,0.08194527140100961,0.008,0.04112379710612243,1.9926484704110596,True
1.5,external_carotid_R,0.08325324172414343,0.01,0.03817733446863761,2.180698125809054,True
1.5,internal_carotid_R,0.1378013085649902,0.014,0.04112379710612243,3.35088971014485,True
1.75,external_carotid_R,0.11153139031327977,0.014,0.03817733446863761,2.921403284582426,True
1.75,internal_carotid_R,0.18593292673634704,0.018,0.04112379710612243,4.52129763836097,True
2.0,external_carotid_R,0.11637804216715943,0.014,0.03817733446863761,3.048354312498247,True
2.0,internal_carotid_R,0.22823895502821293,0.02,0.04112379710612243,5.550045742109577,True
2.5,external_carotid_R,0.11892539152727366,0.016,0.03817733446863761,3.1150784407164407,True
2.5,internal_carotid_R,0.23904742234516488,0.022,0.04112379710612243,5.812873303705119,True
