vessel,Rp_m,Rd_m,radius_difference_m,geometrically_tapered,solver_tapered,taper_pct
aortic_arch_I,0.01595,0.0129524399,0.0029975600999999994,True,True,18.7934802507837
brachiocephalic_trunk,0.00672809,0.00615874,0.0005693499999999997,True,True,8.462282757810906
aortic_arch_II,0.0129524399,0.0125655749,0.0003868650000000001,True,True,2.986811774359209
subclavian_R_I,0.00489563,0.0041773477,0.0007182822999999994,True,True,14.671907394962433
common_carotid_R,0.00447559,0.00332624,0.00114935,True,True,25.680413085202176
vertebral_R,0.00133527,0.00133527,0.0,False,False,0.0
subclavian_R_II,0.0041773477,0.002301,0.0018763477000000002,True,True,44.91720188865294
axillary_R,0.002301,0.002077,0.00022400000000000024,True,True,9.734897870491102
brachial_R,0.002077,0.00182827,0.00024872999999999996,True,True,11.97544535387578
radial_R,0.001378,0.001378,0.0,False,False,0.0
ulnar_R_I,0.001408,0.001408,0.0,False,False,0.0
common_interosseous_R,0.000959,0.000959,0.0,False,False,0.0
ulnar_R_II,0.001408,0.001408,0.0,False,False,0.0
posterior_interosseous_R,0.000676,0.000676,0.0,False,False,0.0
external_carotid_R,0.00226547,0.00226547,0.0,False,False,0.0
internal_carotid_R,0.00276538,0.00276538,0.0,False,False,0.0
common_carotid_L,0.00447559,0.00332624,0.00114935,True,True,25.680413085202176
aortic_arch_III,0.0125655749,0.0122844634,0.00028111149999999856,True,True,2.237155898056034
external_carotid_L,0.00226547,0.00226547,0.0,False,False,0.0
internal_carotid_L,0.00276538,0.00276538,0.0,False,False,0.0
subclavian_L_I,0.00489563,0.0034798354,0.0014157946,True,True,28.91955887189187
aortic_arch_IV,0.0122844634,0.01055,0.0017344634000000005,True,True,14.119162909468233
vertebral_L,0.00133527,0.00133527,0.0,False,False,0.0
subclavian_L_II,0.0034798354,0.002301,0.0011788353999999997,True,True,33.87618276427672
axillary_L,0.002301,0.002077,0.00022400000000000024,True,True,9.734897870491102
brachial_L,0.002077,0.00182827,0.00024872999999999996,True,True,11.97544535387578
radial_L,0.001378,0.001378,0.0,False,False,0.0
ulnar_L_I,0.001408,0.001408,0.0,False,False,0.0
common_interosseous_L,0.000959,0.000959,0.0,False,False,0.0
ulnar_L_II,0.001408,0.001408,0.0,False,False,0.0
posterior_interosseous_L,0.000676,0.000676,0.0,False,False,0.0
thoracic_aorta_I,0.01055,0.010363805,0.0001861950000000001,True,True,1.7648815165876788
posterior_intercostal_T6_R,0.0014,0.0014,0.0,False,False,0.0
thoracic_aorta_II,0.010363805,0.0102155504,0.00014825459999999978,True,True,1.4305035650516367
posterior_intercostal_T6_L,0.0014,0.0014,0.0,False,False,0.0
thoracic_aorta_III,0.0102155504,0.0099228951,0.00029265529999999984,True,True,2.8648020766458147
posterior_intercostal_T7_R,0.00155,0.00155,0.0,False,False,0.0
thoracic_aorta_IV,0.0099228951,0.0098226767,0.00010021840000000101,True,True,1.0099713741809182
posterior_intercostal_T7_L,0.00155,0.00155,0.0,False,False,0.0
thoracic_aorta_V,0.0098226767,0.00753574,0.0022869366999999996,True,True,23.282214918057925
thoracic_aorta_VI,0.00753574,0.0074949241,4.081590000000034e-05,True,False,0.5416309479891868
celiac_trunk,0.00334998,0.00321246,0.00013751999999999992,True,True,4.105099134920207
abdominal_aorta_I,0.0074949241,0.007319121,0.00017580310000000002,True,True,2.3456288236461265
common_hepatic,0.00268614,0.00268614,0.0,False,False,0.0
splenic_I,0.00216682,0.00216682,0.0,False,False,0.0
left_gastric,0.00150666,0.00150666,0.0,False,False,0.0
splenic_II,0.00216682,0.00216682,0.0,False,False,0.0
superior_mesenteric,0.00392612,0.00392612,0.0,False,False,0.0
abdominal_aorta_II,0.007319121,0.0072648393,5.428169999999958e-05,True,False,0.7416423365592615
renal_L,0.0027089,0.0027089,0.0,False,False,0.0
abdominal_aorta_III,0.0072648393,0.0071143118,0.00015052749999999986,True,True,2.072000408873461
renal_R,0.00309737,0.00309737,0.0,False,False,0.0
abdominal_aorta_IV,0.0071143118,0.00643453,0.0006797818000000002,True,True,9.555130827974116
inferior_mesenteric,0.00207748,0.00207748,0.0,False,False,0.0
abdominal_aorta_V,0.00643453,0.00590386,0.0005306699999999996,True,True,8.247222407852627
common_iliac_R,0.00449868,0.00409113,0.0004075499999999996,True,True,9.059324068393387
common_iliac_L,0.00449868,0.00409113,0.0004075499999999996,True,True,9.059324068393387
external_iliac_R,0.00337758,0.003189,0.00018857999999999982,True,True,5.583287442488404
internal_iliac_R,0.00281829,0.00281829,0.0,False,False,0.0
femoral_R_I,0.003189,0.0031437249,4.527510000000004e-05,True,False,1.4197271872060218
profunda_femoris_R,0.00214445,0.00214445,0.0,False,False,0.0
femoral_R_II,0.0031437249,0.00268614,0.0004575848999999999,True,True,14.555500705548374
popliteal_R_I,0.00268614,0.0023676798,0.0003184602000000001,True,True,11.855681386673817
anterior_tibial_R,0.0011663,0.0011663,0.0,False,False,0.0
popliteal_R_II,0.0023676798,0.00234646,2.121980000000011e-05,True,False,0.8962276064525326
