phenotype,arm,case,vessel,pulse_pressure_mmHg,time_to_peak_phase,reflected_wave_present,reflected_wave_phase,augmentation_index_pct
normotensive,inlet_only,normotensive_arm1_inlet_only,external_carotid_R,28.48057184842935,0.162,True,0.294,16.127499289253922
normotensive,uniform_E2p5,threshold_E_2p50,external_carotid_R,51.428220029369605,0.262,False,,
normotensive,central_only_E2p5,normotensive_central_E_2p5,external_carotid_R,51.650857859956716,0.152,True,0.304,3.2683242627902085
normotensive,inlet_only,normotensive_arm1_inlet_only,internal_carotid_R,39.19655353142706,0.14,True,0.314,20.790178970548077
normotensive,uniform_E2p5,threshold_E_2p50,internal_carotid_R,52.05161457899746,0.272,True,0.486,2.001206141665462
normotensive,central_only_E2p5,normotensive_central_E_2p5,internal_carotid_R,58.31541744835728,0.132,True,0.322,7.448865740643389
compliance_dominant,inlet_only,compliance_dominant_arm1_inlet_only,external_carotid_R,25.099120709614454,0.172,True,0.374,22.837202412046185
compliance_dominant,uniform_E2p5,compliance_dominant_arm2_matched_stiffening,external_carotid_R,48.46942050252088,0.292,False,,
compliance_dominant,central_only_E2p5,compliance_dominant_central_E_2p5,external_carotid_R,45.50721876704735,0.152,True,0.322,6.328773657094689
compliance_dominant,inlet_only,compliance_dominant_arm1_inlet_only,internal_carotid_R,34.65228415246939,0.142,True,0.322,24.29636539180774
compliance_dominant,uniform_E2p5,compliance_dominant_arm2_matched_stiffening,internal_carotid_R,49.27777424785881,0.292,True,0.524,3.297312281334296
compliance_dominant,central_only_E2p5,compliance_dominant_central_E_2p5,internal_carotid_R,51.43652659019601,0.14200000000000002,True,0.334,12.733934693159428
combined,inlet_only,combined_arm1_inlet_only,external_carotid_R,16.94830288699775,0.282,True,0.536,5.609048749488028
combined,uniform_E2p5,combined_arm2_matched_stiffening,external_carotid_R,34.97739829842479,0.272,True,0.446,3.858846059110178
combined,central_only_E2p5,combined_central_E_2p5,external_carotid_R,32.342922489913036,0.132,True,0.28200000000000003,19.899469495220004
combined,inlet_only,combined_arm1_inlet_only,internal_carotid_R,24.60907733317778,0.122,True,0.284,39.79541028416775
combined,uniform_E2p5,combined_arm2_matched_stiffening,internal_carotid_R,35.838660437153635,0.272,True,0.464,9.0184647450774
combined,central_only_E2p5,combined_central_E_2p5,internal_carotid_R,37.75974048161849,0.112,True,0.28200000000000003,25.908986392942314
