case,vessel,systolic_mmHg,diastolic_mmHg,mean_mmHg,pulse_pressure_mmHg,time_to_peak_phase,reflected_wave_present,reflected_wave_phase,augmentation_pressure_mmHg,augmentation_index_pct,openbf_converged,openbf_cycles,openbf_solver_elapsed_s
normotensive_central_E_2p5,aortic_arch_I,108.65437089719154,70.67612983751273,92.46818005255874,37.97824105967881,0.192,True,0.596,1.4882540880258546,3.9187019896135262,True,4,28.451433269
normotensive_central_E_2p5,external_carotid_R,118.94932386776894,67.29846600781222,92.28134146927738,51.650857859956716,0.152,True,0.304,1.6881175193762488,3.2683242627902085,True,4,28.451433269
normotensive_central_E_2p5,internal_carotid_R,124.30325200171687,65.98783455335959,92.16405276750213,58.31541744835728,0.132,True,0.322,4.3438371518238625,7.448865740643389,True,4,28.451433269
compliance_dominant_central_E_2p5,aortic_arch_I,106.12541161935762,71.42972192524047,93.04594483744037,34.69568969411715,0.202,True,0.332,0.9117180569870413,2.6277559691849226,True,4,27.891286547
compliance_dominant_central_E_2p5,external_carotid_R,114.02523100796262,68.51801224091527,92.84605362173059,45.50721876704735,0.152,True,0.322,2.880048873405343,6.328773657094689,True,4,27.891286547
compliance_dominant_central_E_2p5,internal_carotid_R,118.92871503090376,67.49218844070775,92.70864618984916,51.43652659019601,0.14200000000000002,True,0.334,6.549893704425145,12.733934693159428,True,4,27.891286547
combined_central_E_2p5,aortic_arch_I,125.94710391988295,101.75832610531403,115.99022741753008,24.188777814568923,0.294,True,0.5660000000000001,1.5021814022283735,6.210241020625723,True,9,64.085694702
combined_central_E_2p5,external_carotid_R,131.26830286150437,98.92538037159133,115.98523317105509,32.342922489913036,0.132,True,0.28200000000000003,6.436069994742894,19.899469495220004,True,9,64.085694702
combined_central_E_2p5,internal_carotid_R,136.05379070449885,98.29405022288036,115.91138345006837,37.75974048161849,0.112,True,0.28200000000000003,9.783166023392866,25.908986392942314,True,9,64.085694702
resistance_map_matched_published_walls,aortic_arch_I,101.13934995629042,80.53746824076077,92.99770706564877,20.601881715529643,0.34400000000000003,True,0.616,0.42924533747392957,2.0835249100103588,True,6,31.086168009
resistance_map_matched_published_walls,external_carotid_R,105.73079866866908,77.3316791314802,92.70074921486267,28.39911953718888,0.162,True,0.292,4.590299191512926,16.16352642729607,True,6,31.086168009
resistance_map_matched_published_walls,internal_carotid_R,115.4014164206502,76.62607169895584,92.52993936718919,38.77534472169435,0.132,True,0.312,8.182496739659157,21.102318492299943,True,6,31.086168009
