phenotype,arm,case,vessel,pulse_pressure_mmHg,primary_peak_phase,primary_peak_pressure_mmHg,selected_trough_phase,selected_trough_pressure_mmHg,selected_secondary_phase,selected_secondary_pressure_mmHg,augmentation_pressure_mmHg,augmentation_index_pct,all_peak_phases,all_peak_pressures_mmHg,all_peak_prominences_mmHg,detected_peak_count
normotensive,inlet_only,normotensive_arm1_inlet_only,external_carotid_R,28.48057184842935,0.162,104.20892828212199,0.232,95.69148617805024,0.294,100.28469020048114,4.593204022430896,16.127499289253922,0.1620;0.2940;0.6660,104.2089;100.2847;90.8142,25.6753;4.5932;0.5927,3
normotensive,uniform_E2p5,threshold_E_2p50,external_carotid_R,51.428220029369605,0.262,114.43539595077125,,,,,,,0.2620,114.4354,49.6205,1
normotensive,central_only_E2p5,normotensive_central_E_2p5,external_carotid_R,51.650857859956716,0.152,118.94932386776894,0.262,105.39162002824595,0.304,107.0797375476222,1.6881175193762488,3.2683242627902085,0.1520;0.3040;0.6160,118.9493;107.0797;93.2214,49.1337;1.6881;4.5742,3
normotensive,inlet_only,normotensive_arm1_inlet_only,internal_carotid_R,39.19655353142706,0.14,114.13073366775193,0.242,94.0121508170171,0.314,102.16118444648747,8.149033629470367,20.790178970548073,0.1400;0.3140;0.6860,114.1307;102.1612;90.7024,35.6459;8.1490;0.9421,3
normotensive,uniform_E2p5,threshold_E_2p50,internal_carotid_R,52.05161457899746,0.272,114.43171195745481,0.456,101.58998523423949,0.486,102.63164534203042,1.041660107790932,2.001206141665462,0.2720;0.4860,114.4317;102.6316,49.6875;1.0417,2
normotensive,central_only_E2p5,normotensive_central_E_2p5,internal_carotid_R,58.31541744835728,0.132,124.30325200171687,0.232,102.79593548781473,0.322,107.1397726396386,4.3438371518238625,7.448865740643389,0.1320;0.3220;0.6160,124.3033;107.1398;93.8211,54.5944;4.3438;7.1706,3
compliance_dominant,inlet_only,compliance_dominant_arm1_inlet_only,external_carotid_R,25.099120709614454,0.17200000000000001,102.62443749575519,0.232,95.7173351518498,0.374,101.44927215194825,5.731937000098455,22.837202412046185,0.1220;0.1720;0.3740;0.6260,101.1120;102.6244;101.4493;92.7889,0.8089;21.8882;5.7319;1.3976,4
compliance_dominant,uniform_E2p5,compliance_dominant_arm2_matched_stiffening,external_carotid_R,48.469420502520876,0.292,112.6816695173462,0.47600000000000003,102.73292371146546,,,,,0.2920,112.6817,46.0429,1
compliance_dominant,central_only_E2p5,compliance_dominant_central_E_2p5,external_carotid_R,45.50721876704735,0.152,114.02523100796262,0.262,104.23330659554289,0.322,107.11335546894823,2.880048873405343,6.328773657094689,0.1520;0.3220;0.6060,114.0252;107.1134;94.2067,41.9420;2.8800;4.4431,3
compliance_dominant,inlet_only,compliance_dominant_arm1_inlet_only,internal_carotid_R,34.65228415246939,0.14200000000000002,111.45476130925499,0.242,94.25533262063232,0.322,102.67457819492377,8.419245574291452,24.29636539180774,0.1420;0.3220;0.4340;0.6480,111.4548;102.6746;101.5337;92.5818,30.7604;8.4192;1.4034;3.5721,4
compliance_dominant,uniform_E2p5,compliance_dominant_arm2_matched_stiffening,internal_carotid_R,49.27777424785881,0.292,112.84037385243707,0.494,100.96346138265835,0.524,102.58830348490119,1.6248421022428374,3.2973122813342957,0.2920;0.5240,112.8404;102.5883,46.2797;1.6248,2
compliance_dominant,central_only_E2p5,compliance_dominant_central_E_2p5,internal_carotid_R,51.43652659019601,0.14200000000000002,118.92871503090376,0.232,100.98720271242993,0.334,107.53709641685508,6.549893704425145,12.733934693159428,0.1420;0.3340;0.6160,118.9287;107.5371;95.4333,46.9177;6.5499;9.4155,3
combined,inlet_only,combined_arm1_inlet_only,external_carotid_R,16.94830288699775,0.28200000000000003,121.11330721707749,0.494,113.99095939883463,0.536,114.94159796997722,0.9506385711425906,5.609048749488028,0.1500;0.2820;0.5360,120.8856;121.1133;114.9416,5.8657;15.2582;0.9506,3
combined,uniform_E2p5,combined_arm2_matched_stiffening,external_carotid_R,34.97739829842479,0.272,132.25830667945624,0.41400000000000003,124.91868495478637,0.446,126.2684089106044,1.3497239558180354,3.858846059110178,0.1020;0.2720;0.4460,125.0215;132.2583;126.2684,1.5899;34.2350;1.3497,3
combined,central_only_E2p5,combined_central_E_2p5,external_carotid_R,32.342922489913036,0.132,131.26830286150437,0.182,122.10402161672931,0.28200000000000003,128.5400916114722,6.436069994742894,19.899469495220004,0.1320;0.2820;0.5760,131.2683;128.5401;117.5890,31.0977;6.4361;3.9724,3
combined,inlet_only,combined_arm1_inlet_only,internal_carotid_R,24.60907733317778,0.122,128.2085222782449,0.192,113.94998496415096,0.28400000000000003,123.74326825603718,9.793283291886226,39.79541028416775,0.1220;0.2840;0.3940;0.5560;0.6660,128.2085;123.7433;120.8040;114.9835;114.7432,22.4701;9.7933;2.2782;1.3960;0.8329,5
combined,uniform_E2p5,combined_arm2_matched_stiffening,internal_carotid_R,35.838660437153635,0.272,132.5989806090207,0.424,123.85103520889233,0.464,127.08313216552503,3.2320969566327022,9.018464745077399,0.0820;0.1920;0.2720;0.4640,128.1666;130.5749;132.5990;127.0831,5.7404;0.9574;34.6218;3.2321,4
combined,central_only_E2p5,combined_central_E_2p5,internal_carotid_R,37.75974048161849,0.112,136.05379070449885,0.202,119.10706339018539,0.28200000000000003,128.89022941357825,9.783166023392866,25.908986392942314,0.1120;0.2820;0.5660,136.0538;128.8902;118.1303,35.9905;9.7832;6.0493,3
