case_id,requested_systolic_mmHg,requested_diastolic_mmHg,keep_trace,route,status,initialization_wall_s,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,svr_mmHg_s_mL,baroreceptor_heart_rate_scale,baroreceptor_heart_elastance_scale,baroreceptor_resistance_scale,baroreceptor_compliance_scale,aorta_inflow_mL_s,BrainVasculature_inflow_mL_min,LeftKidneyVasculature_inflow_mL_min,RightKidneyVasculature_inflow_mL_min,GutVasculature_inflow_mL_min,LiverVasculature_inflow_mL_min,MuscleVasculature_inflow_mL_min,SkinVasculature_inflow_mL_min,MyocardiumVasculature_inflow_mL_min,pulse_pressure_mmHg,tissue_tuning_simulated_s,dynamic_stabilization_wall_s,dynamic_stabilization_simulated_s,cvp_out_of_range_warning_n,outside_reference_warning_seen,systolic_residual_mmHg,diastolic_residual_mmHg,error,traceback
grid_120_80,120.0,80.0,False,direct,ok,50.61434916400003,120.01593396397507,80.08367061370899,101.35907125959758,72.01152254268906,5.795900402605186,0.9985415564448451,0.9998119623800443,0.9999905031505072,0.9999152806679725,1.0000237717991485,0.0,673.2631910702685,500.11374061577663,500.11374061577567,790.4825329718249,1340.0338431215068,863.7230115342595,280.6266822287223,232.15278996636013,39.93226335026608,407.8,37.4,271.0,0,False,0.01593396397507263,0.0836706137089891,,
grid_130_80,130.0,80.0,False,direct,ok,38.81659527800002,129.01287026934924,80.18649564356137,106.03468692932063,72.01194388444152,6.169328774904897,0.9774022527998945,0.9998365360270581,0.9999917442437904,0.9999270483086891,1.0000206067615525,0.0,717.8663095337527,566.457622862757,566.457622862758,845.1842766568418,1410.3100281331094,925.358974078621,299.26236012698837,248.94010340702437,48.826374625787864,401.08,25.7,185.0,0,True,-0.9871297306507643,0.18649564356137205,,
grid_140_80,140.0,80.0,False,direct,ok,54.92106546600007,138.65693157847815,80.35076482049902,110.69481678050204,72.01459303672965,6.475544367803282,0.9685873230098325,0.9999327522732566,0.9999966036501642,0.9999696990302243,1.0000084445709438,0.0,723.0492222179364,603.7018833432251,603.7018833432253,846.7752033938357,1456.6851385091543,923.8769396575025,301.4285789987988,247.9200639048663,58.30616675797913,905.08,25.3,185.0,16,True,-1.3430684215218491,0.35076482049902324,,
grid_140_90,140.0,90.0,False,direct,ok,53.63620985200032,139.95366838673382,89.7625889323308,116.11325882551132,72.0152678648574,6.1328919673554605,1.0787730116951089,0.9999765332145156,0.9999988148088138,0.9999890807664717,1.0000031701211949,0.0,688.3522711799276,594.6856926901341,594.685692690137,808.1324720308669,1373.3115914526077,881.3429765553277,286.6519644090407,237.41432597294062,50.191079454403024,390.16,40.9,295.0,0,True,-0.046331613266175964,-0.23741106766919984,,
grid_150_90,150.0,90.0,False,direct,ok,56.378286233999916,148.60512489521057,90.7067870743288,120.9834413754121,72.01150442253504,6.42037813420415,1.0702815104682135,0.9998513165248887,0.99999249073358,0.9999323264559383,1.0000191505299878,0.0,713.3300842555977,647.432607017633,647.4326070176301,837.8626081898658,1417.1794896477645,914.1460634262551,297.02855462549644,246.07081130941282,57.898337820881764,832.84,29.4,215.0,16,True,-1.3948751047894348,0.7067870743288012,,
grid_160_90,160.0,90.0,False,direct,failed,,,,,,,,,,,,,,,,,,,,,,,,,46,True,,,Engine Has Entered An Irreversible State,"Traceback (most recent call last):
  File ""{HTN_COUPLING_ROOT}/scripts/run_stage6_bounds.py"", line 190, in direct_worker
    initialized = engine.initialize_engine(pc, requests(s))
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""{PULSE_ROOT}/build/install/python/pulse/engine/PulseEngine.py"", line 129, in initialize_engine
    self._is_ready = self.__pulse.initialize_engine(pc, drm, PyPulse.serialization_format.json)
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: Engine Has Entered An Irreversible State
"
grid_160_100,160.0,100.0,False,direct,ok,40.07132299599971,159.5411956737684,100.53950333199626,131.11501010079627,72.0125504875403,6.371118830068305,1.1710974851077263,0.9999087159573701,0.9999953896948166,0.9999592524380274,1.000011230172174,0.0,701.7331271559547,682.7058849954801,682.7058849954803,827.7982756502491,1397.4602884780293,902.1117702928135,292.5246744984207,242.54675542965504,59.001692341772156,424.6,26.3,190.0,0,True,-0.4588043262315864,0.5395033319962579,,
grid_170_100,170.0,100.0,False,direct,failed,,,,,,,,,,,,,,,,,,,,,,,,,47,True,,,Engine Has Entered An Irreversible State,"Traceback (most recent call last):
  File ""{HTN_COUPLING_ROOT}/scripts/run_stage6_bounds.py"", line 190, in direct_worker
    initialized = engine.initialize_engine(pc, requests(s))
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""{PULSE_ROOT}/build/install/python/pulse/engine/PulseEngine.py"", line 129, in initialize_engine
    self._is_ready = self.__pulse.initialize_engine(pc, drm, PyPulse.serialization_format.json)
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: Engine Has Entered An Irreversible State
"
grid_180_100,180.0,100.0,False,direct,ok,54.60775626500026,178.7451675061349,99.4107607999834,140.2028702909746,72.0155351977312,6.779380210225818,1.1705532866287849,1.0000002730386268,1.0000000137898297,1.0000000716255164,0.9999999924241794,0.0,715.5106243234305,765.5467374119935,765.5467374119917,840.3521226989559,1434.9343097389813,914.0908944692969,297.8788653473748,246.29995312058935,79.3344067061515,979.14,23.5,185.0,18,True,-1.2548324938651092,-0.5892392000166069,,
grid_180_110,180.0,110.0,False,direct,ok,40.15086631399981,178.34118476848872,110.24883243555573,145.13716463453076,72.01277169184887,6.5940679219969685,1.2503255442600083,0.9999490693841534,0.9999974277466743,0.9999761785411796,1.000006857554902,0.0,708.4209043908124,769.7823159856275,769.7823159856287,837.2728869746877,1405.3928816464577,911.6559120654194,295.32271871521084,245.15819448084162,68.09235233293299,470.1,25.0,190.0,1,True,-1.6588152315112836,0.24883243555572676,,
